,PageRank,HubScore,AuthorityScore,Betweenness,Colony,Day,Role
Ant242,0.018271152499114627,0.020599749130721507,0.020599749129728093,0.0016531621372800269,4,20,N
Ant607,0.008603985991577932,0.008000662853041034,0.008000662853400507,0.0016568196318250126,4,20,F
Ant647,0.009845044323539809,0.00897534268411363,0.008975342684681222,0.001711506195576955,4,20,U
Ant299,0.01711721259124537,0.017793445971149974,0.017793445970738814,0.0027206203636770464,4,20,N
Ant740,0.018419648497819803,0.01872929237236319,0.018729292372846408,0.0029820774340563352,4,20,N
Ant954,0.014711742241504207,0.014950173744548406,0.014950173744468423,0.003080077131490247,4,20,U
Ant838,0.010434756765478635,0.010958019488604642,0.010958019488180848,0.0012590764616472008,4,20,N
Ant263,0.010557528347709443,0.010158722255660528,0.010158722255444565,0.0024428809753917506,4,20,N
Ant262,0.009364887489931323,0.008249713887866897,0.008249713887611605,0.0010033952729996789,4,20,N
Ant153,0.01337079512762888,0.013531227890868483,0.013531227890597115,0.002579568535009233,4,20,N
Ant332,0.016520709031380358,0.016413116461553745,0.016413116462520812,0.0020178884592830775,4,20,F
Ant289,0.010493605675961538,0.009651181573448533,0.009651181573388685,0.0019223945825424425,4,20,N
Ant334,0.018007595247522008,0.020628317232734773,0.020628317232076143,0.0015893182556560126,4,20,N
Ant264,0.01514741675307233,0.015079033442468201,0.015079033442152103,0.002525587021292616,4,20,N
Ant158,0.014364014529017267,0.01426704546492293,0.014267045465078515,0.0027624337566909455,4,20,C
Ant311,0.020153133854022783,0.022200852037923016,0.022200852037540134,0.0025960007585507,4,20,N
Ant646,0.011784990770818776,0.01206832237164963,0.012068322371267494,0.0016962394900743387,4,20,N
Ant176,0.012910627687909825,0.011780239447020315,0.011780239447389977,0.002670682920745099,4,20,F
Ant391,0.016770580365464752,0.018883314079663337,0.01888331407877769,0.0014873465751372664,4,20,N
Ant170,0.011317481982164245,0.011216964829196988,0.011216964829092978,0.002372099841979799,4,20,N
Ant564,0.015655351809773895,0.01652416574483786,0.016524165744648555,0.002199881702559929,4,20,N
Ant638,0.017989814430510558,0.017680718308575448,0.01768071830936334,0.002261181753327937,4,20,F
Ant25,0.01809672111811693,0.019342811045095335,0.019342811045350596,0.0024200941786866833,4,20,F
Ant227,0.006523553765539892,0.004415034024999603,0.004415034025189137,0.002545576131446256,4,20,C
Ant4,0.011642008894304482,0.01123368108946759,0.011233681089063557,0.0020843370927692384,4,20,N
Ant117,0.025643707728496043,0.027700529543144625,0.02770052954298461,0.0031861930342480744,4,20,N
Ant6,0.0125323668622938,0.012514825057152396,0.012514825056935115,0.001546149365835956,4,20,N
Ant1,0.007262236940995013,0.0057773239941577865,0.005777323994491083,0.00306202823758389,4,20,F
