,PageRank,HubScore,AuthorityScore,Betweenness,Colony,Day,Role
Ant621,0.0068581633856406015,0.005832777042526061,0.005832777042830432,0.003501207194677607,3,19,F
Ant118,0.008864328063744813,0.009244023389308232,0.009244023389322351,0.006683079194022993,3,19,C
Ant540,0.00765717573013629,0.009170194711989212,0.009170194711433873,0.003051617988916273,3,19,N
Ant227,0.010668370373601398,0.011125542487908669,0.011125542487943566,0.003871878563003306,3,19,C
Ant117,0.004871192730979018,0.004095425841049851,0.004095425841271671,0.0029941212091720883,3,19,F
Ant111,0.0033955238358976355,0.0029210625642133014,0.002921062564190904,0.001377443158299953,3,19,C
Ant221,0.0026373190264114012,0.0012183366363482712,0.0012183366365174464,5.688703759391658e-05,3,19,F
Ant112,0.005484685039831941,0.004405460200605887,0.004405460200730798,0.00492176549926833,3,19,F
Ant194,0.0059966080888588765,0.006039065645055944,0.006039065645120311,0.002250589310479114,3,19,C
Ant196,0.009283156010771586,0.007398799273817201,0.007398799274543824,0.0053301564188781405,3,19,F
Ant191,0.007600667085542172,0.008321957211257775,0.008321957210895386,0.0022325339888908616,3,19,N
Ant190,0.005619475196596722,0.005373873655123874,0.005373873655198121,0.0033818208478414965,3,19,C
Ant198,0.007751173251457837,0.005784385407946528,0.005784385408622762,0.002605497547046595,3,19,F
Ant492,0.007448427621747889,0.008712652642064415,0.008712652641628849,0.0030042516330272286,3,19,N
Ant324,0.007879893319421792,0.00849746858556406,0.008497468585441327,0.003983446278216105,3,19,N
Ant329,0.006777815329518768,0.008005818642665252,0.008005818642115085,0.0009986033991369488,3,19,N
Ant650,0.004300948772071489,0.0027310565883866067,0.002731056588814004,7.653097589135206e-05,3,19,F
Ant556,0.008214698861718078,0.009740654000999334,0.009740654000439917,0.002140899751515441,3,19,N
Ant252,0.006083930885084347,0.005072764582717827,0.005072764582956446,0.005588852946980514,3,19,F
Ant250,0.0072500365876122935,0.008824574693063648,0.00882457469289715,0.000758651617285463,3,19,C
