,PageRank,HubScore,AuthorityScore,Betweenness,Colony,Day,Role
Ant621,0.010569824114654127,0.011911906509767894,0.011911906509913625,0.0019403196407652337,2,02,C
Ant665,0.00522215801954941,0.0053958356035854705,0.0053958356033436934,0.0008051554755684197,2,02,U
Ant356,0.007869180796905302,0.009986104502879472,0.009986104502343949,0.0012471677953823672,2,02,N
Ant540,0.02370708108723542,0.023990500979627627,0.023990500979768202,0.003985470156220429,2,02,C
Ant227,0.007535894936172154,0.007191163086848132,0.007191163086970346,0.003170844285836518,2,02,C
Ant114,0.005124434219608637,0.0047232879293297465,0.0047232879291504515,0.0012377958922381298,2,02,N
Ant220,0.0058655233141712655,0.0043649312244166205,0.004364931224841735,0.0020996296236791587,2,02,F
Ant195,0.009279349802542185,0.008330120324549377,0.008330120325181557,0.0022603690979798446,2,02,C
Ant191,0.011026039146757151,0.010599909282597074,0.010599909282821453,0.0036427562658150787,2,02,C
Ant217,0.004267503946532711,0.0019779386882955168,0.0019779386887185993,3.596045540153637e-05,2,02,C
Ant492,0.0073904367738362,0.009458037033973818,0.009458037033514012,0.0010824436454456834,2,02,N
Ant324,0.004487265661732563,0.00432455461028262,0.004324554610135849,0.000953682088526457,2,02,N
Ant329,0.010334794348553993,0.009644790351256484,0.009644790351809302,0.004702331527122266,2,02,F
Ant650,0.014076685849648987,0.0171867171045588,0.017186717103803876,0.0021073104810206697,2,02,U
Ant556,0.0064065159914591585,0.006722698497649343,0.006722698497403079,0.00144346601460598,2,02,N
Ant552,0.006826072694789052,0.007460519286192739,0.007460519285883009,0.0018890344161856924,2,02,N
Ant252,0.007021143228351665,0.0074355964201342105,0.00743559642005535,0.0013724042993112028,2,02,N
Ant256,0.008253030502990099,0.007281486602845676,0.007281486603361304,0.002767613647055309,2,02,F
Ant257,0.003451157371366839,0.002084384986542841,0.0020843849864971876,0.0009239645796528614,2,02,N
Ant126,0.008043119492819481,0.006988672457405093,0.006988672457905946,0.0014945882374445688,2,02,F
Ant26,0.004667554516510185,0.004787957009338127,0.004787957009162319,0.0011501345702092502,2,02,N
Ant318,0.00782457658700439,0.007867047988325953,0.007867047988073726,0.0022359802450557776,2,02,N
Ant20,0.009606418896568878,0.007233546806993052,0.007233546807745806,0.0033746873370268512,2,02,F
Ant137,0.008420066605128078,0.010912694517674727,0.010912694517178233,0.0014891742539561875,2,02,N
Ant332,0.008427236165599306,0.010023440416553923,0.010023440416081573,0.0013403788354667946,2,02,N
Ant647,0.005083056824797452,0.004909108576267995,0.004909108576056385,0.0010269105426749484,2,02,N
Ant560,0.0056821033723752305,0.005314980813896421,0.005314980813861607,0.0021542572735669214,2,02,N
Ant564,0.01025133843086954,0.00805102658314657,0.00805102658390686,0.004076157589994684,2,02,F
Ant243,0.005375911031321139,0.003000224119338955,0.003000224119761645,0.0014169284134228023,2,02,F
Ant244,0.007223976830073334,0.006805634614437249,0.006805634614501762,0.0028648661176512,2,02,N
Ant50,0.005880087946405036,0.006141754848784326,0.006141754848477443,0.0011164688538284665,2,02,N
Ant52,0.006343400341162421,0.006054660619194586,0.006054660618880176,0.0013538212795245605,2,02,N
Ant55,0.00917236359715571,0.008422280794751427,0.00842228079502841,0.0031594512077863933,2,02,C
Ant635,0.006205841774351337,0.006419749171278908,0.006419749171034884,0.0021585048294845395,2,02,N
Ant142,0.004503153110590646,0.004298860494564473,0.004298860494365138,0.0010383025217182934,2,02,N
Ant140,0.009303845275499396,0.008779862003305921,0.008779862003726368,0.004129697527669999,2,02,C
Ant147,0.00778040740699059,0.00852749193865851,0.008527491938635735,0.0014552440924102995,2,02,N
Ant144,0.007886381165594486,0.008739739055195634,0.00873973905491906,0.0023697909953330253,2,02,N
Ant305,0.006333541842089507,0.006659209900515398,0.006659209900440582,0.001707872422293941,2,02,C
Ant148,0.007199632020095109,0.00882317626276101,0.008823176262404286,0.0009977283241618712,2,02,N
