ant,degree
Ant621,77
Ant620,63
Ant356,69
Ant353,93
Ant540,68
Ant115,61
Ant117,93
Ant113,90
Ant195,27
Ant196,84
Ant191,77
Ant190,82
Ant198,57
Ant518,89
Ant318,46
Ant492,84
Ant324,79
Ant552,71
Ant252,78
Ant124,90
Ant257,81
Ant255,76
Ant26,79
Ant27,85
Ant23,80
Ant29,66
Ant482,77
Ant137,54
Ant332,44
Ant131,74
Ant127,48
Ant139,47
Ant560,76
Ant564,91
Ant243,64
Ant242,69
Ant50,58
Ant52,47
Ant55,78
Ant142,77
Ant140,57
Ant308,65
Ant148,70
Ant149,69
Ant475,83
Ant380,49
Ant394,61
Ant42,76
Ant43,73
Ant44,85
Ant501,82
Ant507,49
Ant263,73
Ant153,81
Ant260,82
Ant156,60
Ant159,47
Ant158,89
Ant311,93
Ant268,77
Ant390,44
Ant9,63
Ant395,65
Ant462,72
Ant4,89
Ant7,48
Ant6,65
Ant0,51
Ant76,77
Ant73,63
Ant593,66
Ant19,82
Ant614,60
Ant599,91
Ant14,74
Ant13,64
Ant97,78
Ant387,80
Ant91,65
Ant169,36
Ant298,78
Ant294,35
Ant98,89
Ant217,73
Ant215,48
Ant458,80
Ant218,44
Ant219,37
Ant400,89
Ant60,78
Ant63,55
Ant64,92
Ant527,70
Ant289,69
Ant173,35
Ant176,62
Ant207,92
Ant202,81
Ant209,85
Ant38,79
Ant32,74
Ant30,75
Ant530,75
Ant538,48
Ant178,42
Ant232,77
Ant109,64
Ant238,68
Ant342,79
Ant437,64
Ant100,71
Ant347,87
Ant186,88
ant,degree
Ant621,77
Ant620,63
Ant356,69
Ant353,93
Ant540,68
Ant115,61
Ant117,93
Ant113,90
Ant195,27
Ant196,84
Ant191,77
Ant190,82
Ant198,57
Ant518,89
Ant318,46
Ant492,84
Ant324,79
Ant552,71
Ant252,78
Ant124,90
Ant257,81
Ant255,76
Ant26,79
Ant27,85
Ant23,80
Ant29,66
Ant482,77
Ant137,54
Ant332,44
Ant131,74
Ant127,48
Ant139,47
Ant560,76
Ant564,91
Ant243,64
Ant242,69
Ant50,58
Ant52,47
Ant55,78
Ant142,77
Ant140,57
Ant308,65
Ant148,70
Ant149,69
Ant475,83
Ant380,49
Ant394,61
Ant42,76
Ant43,73
Ant44,85
Ant501,82
Ant507,49
Ant263,73
Ant153,81
Ant260,82
Ant156,60
Ant159,47
Ant158,89
Ant311,93
Ant268,77
Ant390,44
Ant9,63
Ant395,65
Ant462,72
Ant4,89
Ant7,48
Ant6,65
Ant0,51
Ant76,77
Ant73,63
Ant593,66
Ant19,82
Ant614,60
Ant599,91
Ant14,74
Ant13,64
Ant97,78
Ant387,80
Ant91,65
Ant169,36
Ant298,78
Ant294,35
Ant98,89
Ant217,73
Ant215,48
Ant458,80
Ant218,44
Ant219,37
Ant400,89
Ant60,78
Ant63,55
Ant64,92
Ant527,70
Ant289,69
Ant173,35
Ant176,62
Ant207,92
Ant202,81
Ant209,85
Ant38,79
Ant32,74
Ant30,75
Ant530,75
Ant538,48
Ant178,42
Ant232,77
Ant109,64
Ant238,68
Ant342,79
Ant437,64
Ant100,71
Ant347,87
Ant186,88
ant,degree
ant,degree
Ant621,77
Ant620,63
Ant356,69
Ant353,93
Ant540,68
Ant115,61
Ant117,93
Ant113,90
Ant195,27
Ant196,84
Ant191,77
Ant190,82
Ant198,57
Ant518,89
Ant318,46
Ant492,84
Ant324,79
Ant552,71
Ant252,78
Ant124,90
Ant257,81
Ant255,76
Ant26,79
Ant27,85
Ant23,80
Ant29,66
Ant482,77
Ant137,54
Ant332,44
Ant131,74
Ant127,48
Ant139,47
Ant560,76
Ant564,91
Ant243,64
Ant242,69
Ant50,58
Ant52,47
Ant55,78
Ant142,77
Ant140,57
Ant308,65
Ant148,70
Ant149,69
Ant475,83
Ant380,49
Ant394,61
Ant42,76
Ant43,73
Ant44,85
Ant501,82
Ant507,49
Ant263,73
Ant153,81
Ant260,82
Ant156,60
Ant159,47
Ant158,89
Ant311,93
Ant268,77
Ant390,44
Ant9,63
Ant395,65
Ant462,72
Ant4,89
Ant7,48
Ant6,65
Ant0,51
Ant76,77
Ant73,63
Ant593,66
Ant19,82
Ant614,60
Ant599,91
Ant14,74
Ant13,64
Ant97,78
Ant387,80
Ant91,65
Ant169,36
Ant298,78
Ant294,35
Ant98,89
Ant217,73
Ant215,48
Ant458,80
Ant218,44
Ant219,37
Ant400,89
Ant60,78
Ant63,55
Ant64,92
Ant527,70
Ant289,69
Ant173,35
Ant176,62
Ant207,92
Ant202,81
Ant209,85
Ant38,79
Ant32,74
Ant30,75
Ant530,75
Ant538,48
Ant178,42
Ant232,77
Ant109,64
Ant238,68
Ant342,79
Ant437,64
Ant100,71
Ant347,87
Ant186,88
