,PageRank,HubScore,AuthorityScore,Betweenness,Colony,Day,Role
Ant621,0.009173118565878973,0.010608287121244295,0.010608287121280268,0.001974190636269379,2,09,C
Ant665,0.0057365197692217,0.005401534582934771,0.005401534582612223,0.0008594789514685238,2,09,U
Ant356,0.004971464286543285,0.00414960586506428,0.004149605864834492,0.0010779197118940525,2,09,N
Ant540,0.023406019882148164,0.024467862911996093,0.02446786291213825,0.004654031738859281,2,09,C
Ant227,0.008735493116894139,0.008984716030846728,0.00898471603061158,0.0026815004679798205,2,09,C
Ant114,0.006988930583715191,0.0070649330271628525,0.007064933026809933,0.0010468495895544615,2,09,N
Ant112,0.007438539840778943,0.00756495835816308,0.007564958358051943,0.002308507767538936,2,09,N
Ant195,0.009315917825587565,0.010500815523011136,0.010500815523044597,0.001397006532394881,2,09,C
Ant191,0.0133050286642714,0.014193281516786501,0.014193281516765462,0.0030723211837211982,2,09,C
Ant217,0.005014934120418614,0.0037598487635911275,0.003759848764066897,0.0006131227755522791,2,09,C
Ant492,0.006885723242182936,0.006975932965840304,0.006975932965387498,0.0008521491935005078,2,09,N
Ant324,0.006395357068039622,0.0060114258706142456,0.006011425870609562,0.00224404455874839,2,09,N
Ant329,0.01062607441426014,0.011498913241310369,0.011498913241934533,0.004821250340341032,2,09,F
Ant650,0.01172986191986774,0.012699131572060469,0.012699131571378013,0.001586208116935694,2,09,U
Ant556,0.004612482784433379,0.003751064948120249,0.0037510649479411285,0.0010906136406159997,2,09,N
Ant552,0.010165054364606572,0.010754469128507117,0.010754469127940374,0.002028325593511117,2,09,N
Ant252,0.007344486926362186,0.007619484710624271,0.007619484710445374,0.0018476912244577695,2,09,N
Ant256,0.008379904033071206,0.008344496917595357,0.008344496918022292,0.0026766372885091514,2,09,F
Ant257,0.005226583975173163,0.004963384289259848,0.004963384289093664,0.001653262156781554,2,09,N
Ant126,0.009340446912884449,0.010271174722328483,0.010271174722872237,0.00254488378041606,2,09,F
Ant26,0.004633673891323387,0.004107329822403494,0.004107329822180932,0.0006605674032342939,2,09,N
Ant260,0.012031941076972181,0.012696313875261222,0.01269631387473875,0.002268961000812459,2,09,N
Ant20,0.007467899258927834,0.0069445753074497425,0.006944575307790973,0.0033868352032206048,2,09,F
Ant137,0.006789212516711883,0.0066450993898663595,0.006645099389514986,0.0009803758012600745,2,09,N
Ant332,0.006830699214478946,0.006279983486657992,0.006279983486255437,0.0013160383063683806,2,09,N
Ant647,0.0021384641872897563,0.0009241113535434223,0.0009241113535051311,0.00015150921763291964,2,09,N
Ant560,0.009567693101614741,0.010092719912903466,0.010092719912377509,0.0018368458569969822,2,09,N
Ant564,0.010714915418389126,0.011743814345196951,0.011743814346022443,0.0034728991999562757,2,09,F
Ant243,0.005021187231212062,0.004204741214842175,0.004204741215304554,0.0013057990636506432,2,09,F
Ant244,0.006243026242374971,0.005534139031377066,0.005534139031289496,0.0024510232544433324,2,09,N
Ant50,0.004857204533239778,0.0036820375280806677,0.0036820375279627876,0.0016375236967555934,2,09,N
Ant52,0.00438640012707648,0.0035111021501900578,0.0035111021499391855,0.0006441039179292456,2,09,N
Ant55,0.009101163818957111,0.008953445595895072,0.00895344559627075,0.004563783857717176,2,09,C
Ant635,0.006393759356589677,0.006051952013648326,0.006051952013339115,0.0012646521537113982,2,09,N
Ant142,0.005815476756057951,0.00537272491410343,0.0053727249140045645,0.002006824220751016,2,09,N
Ant140,0.010805148914607727,0.012351164294670983,0.012351164295431432,0.002206859592960423,2,09,C
Ant147,0.010444158284320335,0.0105873333792562,0.010587333379020661,0.002667848544483859,2,09,N
Ant144,0.008642088144927259,0.009523995942926734,0.0095239959426146,0.0016595665797764154,2,09,N
Ant305,0.005748893014480462,0.00600393870955692,0.00600393870962256,0.0012146385378317053,2,09,C
Ant148,0.005783331876050831,0.005783003958148778,0.0057830039579479554,0.0013912868381158988,2,09,N
