,PageRank,HubScore,AuthorityScore,Betweenness,Colony,Day,Role
Ant621,0.00582200573900699,0.00529043021775412,0.005290430217869313,0.0028447044664900046,3,07,F
Ant580,0.00564275712800211,0.0075289315162732256,0.0075289315158634275,0.0006158388207801008,3,07,N
Ant356,0.006438144981375818,0.006554099105847466,0.006554099105787817,0.0028961328730485853,3,07,N
Ant118,0.005435347905432164,0.004718530116519978,0.004718530116601156,0.0030626685459608075,3,07,C
Ant540,0.0071761847304189835,0.009345328228288704,0.009345328227857205,0.0016221273548344061,3,07,N
Ant227,0.010318065675534732,0.009989660929730042,0.009989660929820978,0.004809280102462776,3,07,C
Ant117,0.0065714304843996745,0.00541439219083724,0.005414392191046398,0.004170070142028723,3,07,F
Ant111,0.0036096164321361124,0.0028080376278113704,0.002808037627833407,0.0014007717055946201,3,07,C
Ant221,0.004366383939672909,0.003521215267916034,0.0035212152680353177,0.00181402194135345,3,07,F
Ant112,0.006294157840093465,0.005917901566620001,0.00591790156676747,0.003745648655432143,3,07,C
Ant194,0.006845757064293936,0.0060794841195508376,0.0060794841196924595,0.0025359425125941067,3,07,C
Ant196,0.008874624837124364,0.007278346029991151,0.007278346030454249,0.0023648588682057816,3,07,F
Ant191,0.007288739947652924,0.009144016795719549,0.009144016795283141,0.0009354124314172345,3,07,N
Ant190,0.005464653533319514,0.004756173210899361,0.004756173211031635,0.001934799779302856,3,07,F
Ant198,0.00957077346330703,0.008304544945430804,0.00830454494589392,0.003387273555019407,3,07,F
Ant217,0.005814333091420332,0.007241247320369077,0.0072412473200379945,0.001226724501194721,3,07,N
Ant492,0.0072401877375125375,0.009182416034854169,0.00918241603445611,0.0021193091396003137,3,07,N
Ant324,0.0074115950472574835,0.007074600015681038,0.007074600015852261,0.0032207517461507467,3,07,C
Ant329,0.004979683164954667,0.006367033036926638,0.006367033036561083,0.0004659766902008661,3,07,N
Ant650,0.005543336076615053,0.004767343955738795,0.004767343955916762,0.00225790735623098,3,07,F
Ant556,0.006357845163400314,0.007638992223761251,0.007638992223466842,0.00210553424536551,3,07,N
Ant252,0.006999045606074798,0.005978478709999699,0.0059784787102487675,0.004073827932484922,3,07,F
Ant250,0.004583844040109189,0.003855895033029414,0.00385589503306736,0.0020915987001286977,3,07,C
Ant251,0.004143682649208598,0.0030405485824041576,0.0030405485826446757,0.001180713465264355,3,07,F
Ant256,0.0062172424603725756,0.006330322776424987,0.006330322776502585,0.0020536182360072117,3,07,F
