,Ant,Betweenness,Colony,Day,group_period1,group_period2,group_period3,group_period4
113,Ant621,0.0017706853974826027,1,02,,,,
114,Ant620,0.0020859656540617396,1,02,N,C, , 
115,Ant356,0.002821042596515144,1,02,F,F,F,F
116,Ant353,0.0019222020863717396,1,02,F, , , 
117,Ant540,0.0016511542165978856,1,02,C,C,N,N
118,Ant115,0.0016092198730691637,1,02,C,F,F,F
119,Ant117,0.003380030077025514,1,02,C,C,F,F
120,Ant113,0.004680144653575249,1,02,C,F, , 
121,Ant195,0.00018036065173513747,1,02,F, , , 
122,Ant196,0.006887966542307512,1,02,F, , , 
123,Ant191,0.0028804282322646376,1,02,N,N,N,N
124,Ant190,0.0014537753162259083,1,02,N,C,C,C
125,Ant198,0.0036893192429254653,1,02,F, , , 
126,Ant518,0.002909437828874976,1,02,F,F,F,F
127,Ant318,0.00014418416865179126,1,02,F, , , 
128,Ant492,0.00429349580400073,1,02,F,F, , 
129,Ant324,0.0027309229857713944,1,02,F,F, , 
130,Ant552,0.0025607308345074594,1,02,N,N, , 
131,Ant252,0.0015324697485947245,1,02,F, , , 
132,Ant124,0.006734833070622435,1,02,C, , , 
133,Ant257,0.0028414769585405294,1,02,F,F, , 
134,Ant255,0.002121005670257568,1,02,F,F,F,F
135,Ant26,0.002240185834122752,1,02,F,F,F,F
136,Ant27,0.0024875483749983913,1,02,C,F, , 
137,Ant23,0.006707811619254444,1,02,F,F,F,F
138,Ant29,0.0023816682621698336,1,02,N,C,C,C
139,Ant482,0.003192386473017668,1,02,C,N,N,N
140,Ant137,0.0011210941775021584,1,02,N,C, , 
141,Ant400,0.0018201795526992094,1,02,C,C,F,F
142,Ant131,0.004264793713923314,1,02,F, , , 
143,Ant127,0.0020572093756996367,1,02,N,C,F,F
144,Ant139,0.0011349237362427494,1,02,N,N,N,N
145,Ant560,0.004657470352372603,1,02,F,F,F,F
146,Ant564,0.0037211419408761503,1,02,C,C,F,F
147,Ant243,0.0018434882782261705,1,02,C,C,F,F
148,Ant242,0.000686037866998729,1,02,N,N,C,C
149,Ant50,0.0022881553807223317,1,02,N,N, , 
150,Ant52,0.0017180002953281702,1,02,N,N, , 
151,Ant55,0.0023369851368134366,1,02,C,C,F,F
152,Ant142,0.00187095917203933,1,02,F,F, , 
153,Ant140,0.0010964398264985704,1,02,C, , , 
154,Ant308,0.004032284569005517,1,02,F,F, , 
155,Ant148,0.0018061485913669208,1,02,F,F, , 
156,Ant149,0.001102999701711901,1,02,F,F, , 
157,Ant475,0.0036547397916494185,1,02,F,F, , 
158,Ant380,0.001302841535128688,1,02,N,N,N,N
159,Ant462,0.0023655663787484956,1,02,F,F, , 
160,Ant42,0.0033889563190285083,1,02,C,C,F,F
161,Ant43,0.0018656315234074643,1,02,F,F, , 
162,Ant44,0.003303167804717196,1,02,F,F,F,F
163,Ant501,0.0031880329014719678,1,02,C,C,F,F
164,Ant507,0.0034933947859127706,1,02,F,F, , 
165,Ant263,0.0018982102679608941,1,02,F, , , 
166,Ant332,0.0007224460660306102,1,02,F,F, , 
167,Ant153,0.0016023277352901516,1,02,C,C,F,F
168,Ant260,0.0036455901306794098,1,02,F,F, , 
169,Ant156,0.0004680173794764564,1,02,N,N,N,N
170,Ant159,0.0011739773364813457,1,02,N,N, , 
171,Ant158,0.003143813993571999,1,02,C,F, , 
172,Ant311,0.005889118652018131,1,02,C,F, , 
173,Ant268,0.0028366974137699207,1,02,C,N,C,C
174,Ant390,0.0004499837056621427,1,02,N,N,N,N
175,Ant9,1.2531630178689002e-05,1,02,F, , , 
176,Ant395,0.0010144371496423027,1,02,C,C, , 
177,Ant394,0.002289023948547705,1,02,N,C,F,F
178,Ant4,0.003431609721338271,1,02,C,F,F,F
179,Ant7,0.0018288270430122954,1,02,C,C, , 
180,Ant6,0.0017507834579390173,1,02,F,F, , 
181,Ant0,0.0007145730288236243,1,02,N,N,N,N
182,Ant76,0.003754470750706178,1,02,F,F,F,F
183,Ant73,0.0017045533484889908,1,02,F,F, , 
184,Ant593,0.002025020738779733,1,02,N,C,F,F
185,Ant19,0.0031090897259545914,1,02,F,F,F,F
186,Ant614,0.0019270395304643582,1,02,,,,
187,Ant599,0.0038639130065628636,1,02,,,,
188,Ant14,0.0016362739662409767,1,02,F, , , 
189,Ant13,0.0025502120726970073,1,02,C,C, , 
190,Ant97,0.0033829663342140035,1,02,F,F,F,F
191,Ant387,0.004846125621596545,1,02,C,F,F,F
192,Ant91,0.0022241619952679545,1,02,F, , , 
193,Ant169,0.0027193950661278717,1,02,N,N, , 
194,Ant298,0.002863708254739692,1,02,C,F, , 
195,Ant294,0.0007428275691719274,1,02,F,F,F,F
196,Ant98,0.004969468367955797,1,02,F,F, , 
197,Ant217,0.002119374632821683,1,02,F,F, , 
198,Ant215,0.003093206188966294,1,02,C,C,C,C
199,Ant458,0.0024052164310064215,1,02,C,C, , 
200,Ant218,0.0012950559471801727,1,02,N,C,C,C
201,Ant219,0.0005456080094044634,1,02,Q,Q,Q,Q
202,Ant527,0.003105568256767612,1,02,F, , , 
203,Ant60,0.002090159097110096,1,02,C,F,F,F
204,Ant63,0.002007842454034241,1,02,N,N,F,F
205,Ant64,0.004615858508767655,1,02,F,F,F,F
206,Ant178,0.0012848931499103416,1,02,N,N,N,N
207,Ant289,0.002136747678591556,1,02,F,F, , 
208,Ant173,0.0010545450407564365,1,02,N,N,N,N
209,Ant176,0.0038251939494383003,1,02,F,F,F,F
210,Ant207,0.004118918750107275,1,02,C,C,C,C
211,Ant202,0.0032195690949416295,1,02,F,C,F,F
212,Ant209,0.0024331771261124056,1,02,F,F, , 
213,Ant38,0.004573800320167509,1,02,F,F,F,F
214,Ant32,0.001304675338519,1,02,F,F,F,F
215,Ant30,0.003689861292809158,1,02,F,F,C,C
216,Ant530,0.0013921937524206944,1,02,F,F, , 
217,Ant538,0.0007310029684183787,1,02,N,N,N,N
218,Ant232,0.0030602496897904267,1,02,F,F, , 
219,Ant109,0.000912352761424596,1,02,C,F,F,F
220,Ant238,0.0018984926532129697,1,02,F,F, , 
221,Ant342,0.0021263951743107907,1,02,C,C, , 
222,Ant437,0.0014772862482344549,1,02,N,C, , 
223,Ant100,0.0037579893113397515,1,02,F,F, , 
224,Ant347,0.0027980592850071874,1,02,F,F,F,F
225,Ant186,0.002060324333310563,1,02,C,C, , 
226,Ant621,0.003289225904138741,1,03,,,,
227,Ant620,0.002979687671294425,1,03,N,C, , 
228,Ant356,0.0025111813442093476,1,03,F,F,F,F
229,Ant353,0.0025200387222036897,1,03,F, , , 
230,Ant540,0.0021698778012945634,1,03,C,C,N,N
231,Ant115,0.0012502844281833214,1,03,C,F,F,F
232,Ant117,0.002868621346845418,1,03,C,C,F,F
233,Ant113,0.0032181250661801352,1,03,C,F, , 
234,Ant195,2.2968476221258927e-05,1,03,F, , , 
235,Ant196,0.007151117676988356,1,03,F, , , 
236,Ant191,0.004082501783375972,1,03,N,N,N,N
237,Ant190,0.0012159775187629029,1,03,N,C,C,C
