,Ant,Betweenness,Colony,Day,group_period1,group_period2,group_period3,group_period4
3979,Ant437,0.001993544200453432,2,03,N,C,C,C
3980,Ant100,0.002252703768979978,2,03,F, , , 
3981,Ant527,0.00202883969867294,2,03,C, , , 
3982,Ant621,0.002126000198991553,2,04,C,C,N,N
3983,Ant665,0.00152553544604792,2,04,,,,
3984,Ant356,0.0005639630023555505,2,04,N,N,N,N
3985,Ant540,3.231358908834314e-05,2,04,C,F, , 
3986,Ant227,0.0030365196186345365,2,04,C,C,C,C
3987,Ant114,0.0018084123723031977,2,04,N,N, , 
3988,Ant220,0.003173283574651609,2,04,F, , , 
3989,Ant195,0.002128674725698826,2,04,C,C,C,C
3990,Ant191,0.004710217325507715,2,04,C, , , 
3991,Ant217,0.0007440832004653218,2,04,C,F, , 
3992,Ant492,0.0010908148293861204,2,04,N,N,N,N
3993,Ant324,0.0015687583619853843,2,04,N,N,C,C
3994,Ant329,0.002786303868277934,2,04,F, , , 
3995,Ant650,0.0033302676355913014,2,04,,,,
3996,Ant556,0.0018674382592881033,2,04,N,N,N,N
3997,Ant552,0.0011517379891666925,2,04,N,N,N,N
3998,Ant252,0.001284718412354525,2,04,N, , , 
3999,Ant256,0.0041295780909386725,2,04,F,F,C,C
4000,Ant257,0.002097513491607109,2,04,N,N, , 
4001,Ant126,0.0027078324493107877,2,04,F,C,C,C
4002,Ant26,0.00028497136509867354,2,04,N,N, , 
4003,Ant260,0.0024260315445985715,2,04,N,N, , 
4004,Ant20,0.004972335005653929,2,04,F,F, , 
4005,Ant137,0.0011801166603386756,2,04,N,N,N,N
4006,Ant332,0.0011434589179251413,2,04,N,N,N,N
4007,Ant647,0.0020945786531463323,2,04,N,C, , 
4008,Ant560,0.0025258250944281235,2,04,N,N,N,N
4009,Ant564,0.0038854862293649256,2,04,F,F,C,C
4010,Ant243,0.0014441362962615096,2,04,F,F, , 
4011,Ant244,0.002360250724154956,2,04,N,N,C,C
4012,Ant50,0.0010322634895439866,2,04,N,N,N,N
4013,Ant52,0.0014844837621578433,2,04,N,N,N,N
4014,Ant55,0.002486513123679879,2,04,C,F, , 
4015,Ant635,0.0026304525204285164,2,04,N, , , 
4016,Ant142,0.0007201696449491077,2,04,N, , , 
4017,Ant140,0.0012020528116993686,2,04,C,C,C,C
4018,Ant147,0.0018887944049102057,2,04,N,N,C,C
4019,Ant144,0.0015781808189989151,2,04,N,N, , 
4020,Ant305,0.002722021352883219,2,04,C,C, , 
4021,Ant148,0.0014427289294929111,2,04,N,N,N,N
4022,Ant673,0.0010551051350940201,2,04,,,,
4023,Ant278,0.0008449997915180945,2,04,C, , , 
4024,Ant301,0.0025101749328691456,2,04,N,N, , 
4025,Ant476,0.001756138074106673,2,04,N,N,N,N
4026,Ant575,0.0017637641312729711,2,04,C,C, , 
4027,Ant43,0.0037575247710111385,2,04,F,F, , 
4028,Ant40,0.004686977774162551,2,04,C,F, , 
4029,Ant44,0.0028255850634619035,2,04,N,N, , 
4030,Ant580,0.002376607096345481,2,04,C,C, , 
4031,Ant398,0.0027118585549556666,2,04,F,F, , 
4032,Ant507,0.002789978396547531,2,04,F,F, , 
4033,Ant262,0.0011729173054545812,2,04,C,C,C,C
4034,Ant318,0.001264606169671904,2,04,N, , , 
4035,Ant265,0.0017458572679624029,2,04,C,C, , 
4036,Ant264,0.002003203739261652,2,04,C,F, , 
4037,Ant313,0.0035905625074127,2,04,N,N, , 
4038,Ant158,0.004693953228321809,2,04,C,C, , 
4039,Ant311,0.003578806499474827,2,04,N,C, , 
4040,Ant268,0.002983706427575001,2,04,F,F,F,F
4041,Ant509,0.004406312800691566,2,04,N,N, , 
4042,Ant395,0.0016613421063628052,2,04,N,C, , 
4043,Ant394,0.002611564458552755,2,04,N, , , 
4044,Ant5,0.0023375285684095522,2,04,N,N, , 
4045,Ant7,0.003160607338304919,2,04,C,C, , 
4046,Ant6,0.0019559733490135817,2,04,N,N,C,C
4047,Ant0,0.0024119176119922967,2,04,N,N, , 
4048,Ant2,0.002266806625180588,2,04,N,C,F,F
4049,Ant76,0.0021510313885967987,2,04,N, , , 
4050,Ant72,0.002708846185343538,2,04,F,F, , 
4051,Ant593,0.0022353119305712457,2,04,N,N,N,N
4052,Ant592,0.000351800974548445,2,04,Q,Q,Q,Q
4053,Ant19,0.0030802483823701345,2,04,C,N,C,C
4054,Ant15,0.0020623279475841653,2,04,N,N,N,N
4055,Ant14,0.003607532829853997,2,04,F,F, , 
4056,Ant502,0.005304564580866102,2,04,C,C,C,C
4057,Ant97,0.0012357037729936367,2,04,N,N, , 
4058,Ant96,0.003549287731354031,2,04,N,N,C,C
4059,Ant91,0.0019976905679884517,2,04,C, , , 
4060,Ant169,0.0021214250737847614,2,04,N,N,N,N
4061,Ant298,0.0008760976025420312,2,04,N,N,N,N
4062,Ant299,0.0025437146752546767,2,04,N, , , 
4063,Ant296,0.0018665123202749505,2,04,N,N,C,C
4064,Ant294,0.00041417652362232284,2,04,C,F, , 
4065,Ant99,0.0026013764982112265,2,04,N,N,N,N
4066,Ant98,0.0013589687917007773,2,04,N,N,N,N
4067,Ant518,0.0022348232942482355,2,04,C,C, , 
4068,Ant215,0.00047488074672256167,2,04,F,F, , 
4069,Ant212,0.0006612348733652202,2,04,F,F, , 
4070,Ant210,0.0018769511254364852,2,04,N,N,C,C
4071,Ant458,0.0027852462117089866,2,04,F, , , 
4072,Ant237,0.001373623319312149,2,04,N,N,N,N
4073,Ant219,0.0016769697300192772,2,04,N,N, , 
4074,Ant68,0.002627045392656691,2,04,F, , , 
4075,Ant400,0.0032561594478726515,2,04,N,N,N,N
4076,Ant161,0.0020439511082996245,2,04,N,N, , 
4077,Ant60,0.0010153037217023684,2,04,N,N,N,N
4078,Ant62,0.0018714044148870801,2,04,N,N, , 
4079,Ant63,0.0011823861168681765,2,04,N,N,C,C
4080,Ant65,0.0008531846696408166,2,04,C,C,C,C
4081,Ant604,0.0011943144328623158,2,04,C,C,C,C
4082,Ant607,0.00352872476925126,2,04,F,F, , 
4083,Ant610,0.0005026742131581295,2,04,N,C, , 
4084,Ant178,0.001582221078791309,2,04,C,F,C,C
4085,Ant289,0.0037205929170001637,2,04,C,F,C,C
4086,Ant80,0.0015829892922768372,2,04,N, , , 
4087,Ant632,0.0009577826739050167,2,04,C,F, , 
4088,Ant172,0.0018713023669679934,2,04,F,C,C,C
4089,Ant170,0.001065431925399437,2,04,N,N, , 
4090,Ant176,0.0023152874227501488,2,04,F,F,F,F
4091,Ant174,0.0022639053987407514,2,04,N,N,N,N
4092,Ant207,0.0019238873633588601,2,04,N, , , 
4093,Ant206,0.0016244914703738116,2,04,N,N,N,N
4094,Ant202,0.0005270924415985291,2,04,F,F,F,F
4095,Ant209,0.0018675684664782972,2,04,N,N,N,N
4096,Ant599,0.002550504299542928,2,04,C,N,N,N
4097,Ant112,0.002998621722034114,2,04,N,C, , 
4098,Ant38,0.0012793078955457462,2,04,N,N, , 
4099,Ant638,0.0012896151456070007,2,04,C,F,F,F
4100,Ant32,0.0009048616017963185,2,04,N,N, , 
4101,Ant30,0.002514511810253561,2,04,N,N, , 
4102,Ant35,0.003052256953296942,2,04,C,C,C,C
4103,Ant12,0.00040744872684634036,2,04,C,F, , 
4104,Ant232,0.004149197637582147,2,04,C,C,C,C
4105,Ant109,0.003349256437115258,2,04,C, , , 
4106,Ant433,0.002145183876616568,2,04,N, , , 
4107,Ant342,0.0022070752800697952,2,04,N,N, , 
4108,Ant105,0.0012369760845680957,2,04,N,N, , 
4109,Ant102,0.0010457922601925886,2,04,N,N,N,N
4110,Ant437,0.0017683368069959236,2,04,N,C,C,C
4111,Ant100,0.002374118840980971,2,04,F, , , 
4112,Ant527,0.0022324629226796915,2,04,C, , , 
4113,Ant621,0.00328048778770142,2,05,C,C,N,N
4114,Ant665,0.0018833629286928578,2,05,,,,
4115,Ant356,0.004090223022545696,2,05,N,N,N,N
4116,Ant540,6.99946048783258e-06,2,05,C,F, , 
4117,Ant227,0.004849933328714033,2,05,C,C,C,C
4118,Ant114,0.0033630173676745495,2,05,N,N, , 
4119,Ant112,0.0021352254865747897,2,05,N,C, , 
4120,Ant195,0.0018513939864296786,2,05,C,C,C,C
4121,Ant191,0.0047894114614354675,2,05,C, , , 
4122,Ant518,0.0029814990179775425,2,05,C,C, , 
4123,Ant492,0.0011966244944626174,2,05,N,N,N,N
4124,Ant324,0.0025999547323033545,2,05,N,N,C,C
4125,Ant329,0.005353825710364674,2,05,F, , , 
4126,Ant650,0.0022562579240141753,2,05,,,,
4127,Ant556,0.00212125950881353,2,05,N,N,N,N
4128,Ant552,0.0031158861371080445,2,05,N,N,N,N
4129,Ant252,0.0015484074330151673,2,05,N, , , 
4130,Ant256,0.001874015020303158,2,05,F,F,C,C
4131,Ant257,0.0011397212016368513,2,05,N,N, , 
4132,Ant126,0.0021596290295872,2,05,F,C,C,C
4133,Ant26,0.0018564447556467635,2,05,N,N, , 
4134,Ant318,0.003616014254457742,2,05,N, , , 
4135,Ant20,0.0042906516344792135,2,05,F,F, , 
4136,Ant137,0.0025132304153499927,2,05,N,N,N,N
4137,Ant332,0.0016056405548471246,2,05,N,N,N,N
4138,Ant647,0.0012156895229602344,2,05,N,C, , 
4139,Ant560,0.0017094963662898873,2,05,N,N,N,N
4140,Ant268,0.0031920927383407433,2,05,F,F,F,F
4141,Ant564,0.001984585490588918,2,05,F,F,C,C
4142,Ant243,0.000966185179935451,2,05,F,F, , 
4143,Ant244,0.0015995141673270706,2,05,N,N,C,C
4144,Ant50,0.0005249353261381519,2,05,N,N,N,N
4145,Ant52,0.0005863726268831455,2,05,N,N,N,N
4146,Ant55,0.0033954032136812263,2,05,C,F, , 
4147,Ant32,0.0016448952914460504,2,05,N,N, , 
4148,Ant142,0.0003346800093700874,2,05,N, , , 
4149,Ant140,0.0031536408689628354,2,05,C,C,C,C
4150,Ant147,0.0032907074393629466,2,05,N,N,C,C
4151,Ant144,0.0012443861678986072,2,05,N,N, , 
4152,Ant305,0.002776976481673323,2,05,C,C, , 
4153,Ant148,0.0020612461382701844,2,05,N,N,N,N
4154,Ant673,0.0029241618265192695,2,05,,,,
4155,Ant278,0.002923017297891816,2,05,C, , , 
4156,Ant301,0.003079395978170337,2,05,N,N, , 
4157,Ant476,0.002281600698947457,2,05,N,N,N,N
4158,Ant575,0.001312434015269437,2,05,C,C, , 
4159,Ant43,0.004423966711944212,2,05,F,F, , 
4160,Ant40,0.0035599069175864476,2,05,C,F, , 
4161,Ant44,0.0021828609048037025,2,05,N,N, , 
4162,Ant580,0.0029415152365234896,2,05,C,C, , 
4163,Ant398,0.003005908304322655,2,05,F,F, , 
4164,Ant507,0.0010505113833718827,2,05,F,F, , 
4165,Ant262,0.0015213396453979578,2,05,C,C,C,C
4166,Ant260,0.004896450398649393,2,05,N,N, , 
4167,Ant265,0.0006548931379449952,2,05,C,C, , 
4168,Ant264,0.002137305180499415,2,05,C,F, , 
4169,Ant313,0.0017305815769233241,2,05,N,N, , 
4170,Ant158,0.004987281203846935,2,05,C,C, , 
4171,Ant311,0.003884486853291565,2,05,N,C, , 
4172,Ant220,0.004384730252394298,2,05,F, , , 
4173,Ant509,0.00251050896409411,2,05,N,N, , 
4174,Ant395,0.002289972915156986,2,05,N,C, , 
4175,Ant394,0.0022710799166674755,2,05,N, , , 
4176,Ant5,0.0015471998598465422,2,05,N,N, , 
4177,Ant7,0.0008618433916516594,2,05,C,C, , 
4178,Ant6,0.0021332908495361206,2,05,N,N,C,C
4179,Ant0,0.003209319078548478,2,05,N,N, , 
4180,Ant2,0.0026085637555826697,2,05,N,C,F,F
4181,Ant76,0.00431022343321838,2,05,N, , , 
4182,Ant72,0.0026667571874611717,2,05,F,F, , 
4183,Ant593,0.002751992262377101,2,05,N,N,N,N
4184,Ant592,0.0006947809681145781,2,05,Q,Q,Q,Q
4185,Ant19,0.002321374945023893,2,05,C,N,C,C
4186,Ant15,0.002511052937356109,2,05,N,N,N,N
4187,Ant14,0.004033995613480814,2,05,F,F, , 
4188,Ant502,0.004036806854289794,2,05,C,C,C,C
4189,Ant97,0.002033316392023517,2,05,N,N, , 
4190,Ant96,0.0023077873620941922,2,05,N,N,C,C
4191,Ant91,0.0008955630507370316,2,05,C, , , 
4192,Ant169,0.0026257483384409222,2,05,N,N,N,N
4193,Ant298,0.0025899093224611225,2,05,N,N,N,N
4194,Ant299,0.004496048385659749,2,05,N, , , 
4195,Ant296,0.0013321037921225722,2,05,N,N,C,C
4196,Ant294,0.0014796790979085407,2,05,C,F, , 
4197,Ant99,0.0026259885990063585,2,05,N,N,N,N
4198,Ant98,0.004020751296563892,2,05,N,N,N,N
4199,Ant217,0.002574442050923503,2,05,C,F, , 
4200,Ant215,0.0012826158096318776,2,05,F,F, , 
4201,Ant212,0.0015583644107446273,2,05,F,F, , 
4202,Ant210,0.003868416769604411,2,05,N,N,C,C
4203,Ant458,0.003048009639430431,2,05,F, , , 
4204,Ant237,0.001435253691130738,2,05,N,N,N,N
4205,Ant219,0.002020268180987199,2,05,N,N, , 
4206,Ant68,0.0019359565715385257,2,05,F, , , 
4207,Ant400,0.002221247029466533,2,05,N,N,N,N
4208,Ant161,0.001043218488816687,2,05,N,N, , 
4209,Ant60,0.001041059409807983,2,05,N,N,N,N
4210,Ant62,0.002298347363511712,2,05,N,N, , 
4211,Ant63,0.0019537593626428977,2,05,N,N,C,C
4212,Ant65,0.0006504704765396843,2,05,C,C,C,C
4213,Ant604,0.0016073097134154093,2,05,C,C,C,C
4214,Ant607,0.0016168482504805783,2,05,F,F, , 
4215,Ant610,5.5554391313017746e-05,2,05,N,C, , 
4216,Ant527,0.0018030994233125017,2,05,C, , , 
4217,Ant289,0.0030236498164003148,2,05,C,F,C,C
4218,Ant80,0.0013925028856229045,2,05,N, , , 
4219,Ant632,0.0008468216757619282,2,05,C,F, , 
4220,Ant172,0.0020709425457494423,2,05,F,C,C,C
4221,Ant170,0.0020790877623334454,2,05,N,N, , 
4222,Ant176,0.002892482633566273,2,05,F,F,F,F
4223,Ant174,0.0027790558909175545,2,05,N,N,N,N
4224,Ant207,0.0036184625236985635,2,05,N, , , 
4225,Ant206,0.001994036644226295,2,05,N,N,N,N
4226,Ant202,0.000875378600322957,2,05,F,F,F,F
4227,Ant209,0.0015647607573758197,2,05,N,N,N,N
4228,Ant599,0.0022935578660277975,2,05,C,N,N,N
4229,Ant38,0.0020852868157345385,2,05,N,N, , 
4230,Ant638,0.001836149813919694,2,05,C,F,F,F
4231,Ant635,0.0016244957703066137,2,05,N, , , 
4232,Ant30,0.0027647359834270203,2,05,N,N, , 
4233,Ant35,0.0018980089756767042,2,05,C,C,C,C
4234,Ant12,0.001148306225901705,2,05,C,F, , 
4235,Ant178,0.00041500615177762854,2,05,C,F,C,C
4236,Ant232,0.0043028873403955295,2,05,C,C,C,C
4237,Ant109,0.0027048719840509455,2,05,C, , , 
4238,Ant433,0.0019582762524631057,2,05,N, , , 
4239,Ant342,0.002973956126045503,2,05,N,N, , 
4240,Ant105,0.002399974279902236,2,05,N,N, , 
4241,Ant102,0.0028769749082316227,2,05,N,N,N,N
4242,Ant437,0.002958267669063738,2,05,N,C,C,C
4243,Ant100,0.004404065410780271,2,05,F, , , 
4244,Ant621,0.0037707131789303716,2,06,C,C,N,N
4245,Ant665,0.0008123617721189936,2,06,,,,
4246,Ant356,0.001262135608800461,2,06,N,N,N,N
4247,Ant540,5.523459997615566e-05,2,06,C,F, , 
4248,Ant227,0.003164352808804175,2,06,C,C,C,C
4249,Ant114,0.0019732068305574977,2,06,N,N, , 
4250,Ant112,0.0032723070779519066,2,06,N,C, , 
4251,Ant195,0.0023914414506416054,2,06,C,C,C,C
4252,Ant191,0.007108178023119735,2,06,C, , , 
4253,Ant518,0.0023802029611405266,2,06,C,C, , 
4254,Ant492,0.0016161868939605381,2,06,N,N,N,N
4255,Ant324,0.003922162540832169,2,06,N,N,C,C
4256,Ant329,0.003892776299662674,2,06,F, , , 
4257,Ant650,0.002864528883410953,2,06,,,,
4258,Ant556,0.001498102625901857,2,06,N,N,N,N
4259,Ant552,0.001564020865953689,2,06,N,N,N,N
4260,Ant252,0.0017342130181843736,2,06,N, , , 
4261,Ant256,0.001826038953136298,2,06,F,F,C,C
4262,Ant257,0.0016592933051839173,2,06,N,N, , 
4263,Ant126,0.004422882857798472,2,06,F,C,C,C
4264,Ant502,0.004507654577745832,2,06,C,C,C,C
4265,Ant26,0.0012738943881220037,2,06,N,N, , 
4266,Ant318,0.001762946552835001,2,06,N, , , 
4267,Ant20,0.005138982778279349,2,06,F,F, , 
4268,Ant137,0.0012941040055165479,2,06,N,N,N,N
4269,Ant332,0.0005311039510954322,2,06,N,N,N,N
4270,Ant647,0.0003188512986040547,2,06,N,C, , 
4271,Ant560,0.0019652195549683966,2,06,N,N,N,N
4272,Ant268,0.0014006638505192782,2,06,F,F,F,F
4273,Ant564,0.004052528630555289,2,06,F,F,C,C
4274,Ant243,0.002332182350464562,2,06,F,F, , 
4275,Ant244,0.0027605241921164446,2,06,N,N,C,C
4276,Ant50,0.000548244678053877,2,06,N,N,N,N
4277,Ant52,0.0014511010315170498,2,06,N,N,N,N
4278,Ant55,0.003945410077928586,2,06,C,F, , 
4279,Ant635,0.0021116390377011896,2,06,N, , , 
4280,Ant142,0.0010583426130509337,2,06,N, , , 
4281,Ant140,0.002313142322163664,2,06,C,C,C,C
4282,Ant147,0.0029050983735691397,2,06,N,N,C,C
4283,Ant144,0.0024236819347259655,2,06,N,N, , 
4284,Ant305,0.001282628637693942,2,06,C,C, , 
4285,Ant148,0.0018005640390848941,2,06,N,N,N,N
4286,Ant673,0.0023601299697749616,2,06,,,,
4287,Ant278,0.0017205963845085004,2,06,C, , , 
4288,Ant301,0.0013950792790805976,2,06,N,N, , 
4289,Ant476,0.0009073967670195825,2,06,N,N,N,N
4290,Ant575,0.0013658094761912112,2,06,C,C, , 
4291,Ant43,0.002717291080254825,2,06,F,F, , 
4292,Ant40,0.006235284740844984,2,06,C,F, , 
4293,Ant44,0.002933227678626365,2,06,N,N, , 
4294,Ant580,0.0006285081589242842,2,06,C,C, , 
4295,Ant398,0.0023219961696868104,2,06,F,F, , 
4296,Ant507,0.002539252669365898,2,06,F,F, , 
4297,Ant262,0.0007941652002208481,2,06,C,C,C,C
4298,Ant260,0.005050396459957436,2,06,N,N, , 
4299,Ant265,0.0011861465067126461,2,06,C,C, , 
4300,Ant264,0.003152309777597065,2,06,C,F, , 
4301,Ant313,0.0031927664012838465,2,06,N,N, , 
4302,Ant158,0.002914585764937921,2,06,C,C, , 
4303,Ant311,0.005611846887484917,2,06,N,C, , 
4304,Ant220,0.0018737282089082731,2,06,F, , , 
4305,Ant509,0.0012536559287351509,2,06,N,N, , 
4306,Ant395,0.00362697075764998,2,06,N,C, , 
4307,Ant394,0.004427527736698008,2,06,N, , , 
4308,Ant5,0.002122147030725071,2,06,N,N, , 
4309,Ant7,0.0023682130556527082,2,06,C,C, , 
4310,Ant6,0.002868666566017133,2,06,N,N,C,C
4311,Ant0,0.0034949812525454497,2,06,N,N, , 
4312,Ant2,0.0028763043984921873,2,06,N,C,F,F
4313,Ant76,0.003123659429989052,2,06,N, , , 
4314,Ant72,0.004953001190888884,2,06,F,F, , 
4315,Ant593,0.0034675990011611953,2,06,N,N,N,N
4316,Ant592,0.0008049074092926258,2,06,Q,Q,Q,Q
4317,Ant19,0.0033126283596357146,2,06,C,N,C,C
4318,Ant15,0.0018321740230522357,2,06,N,N,N,N
4319,Ant14,0.0036897581897222726,2,06,F,F, , 
4320,Ant12,0.00017741931129145786,2,06,C,F, , 
4321,Ant97,0.0019135570946662627,2,06,N,N, , 
4322,Ant96,0.0017414051827895852,2,06,N,N,C,C
4323,Ant91,0.0017813542911520347,2,06,C, , , 
4324,Ant169,0.0019426163615785033,2,06,N,N,N,N
4325,Ant298,0.003308317464966696,2,06,N,N,N,N
4326,Ant299,0.0018022353665408915,2,06,N, , , 
4327,Ant296,0.0026273703235959894,2,06,N,N,C,C
4328,Ant294,0.00017628952078282506,2,06,C,F, , 
4329,Ant99,0.003917895982443675,2,06,N,N,N,N
4330,Ant98,0.0016882692276726907,2,06,N,N,N,N
4331,Ant217,0.0021770337059557475,2,06,C,F, , 
4332,Ant215,0.0015744910074200998,2,06,F,F, , 
4333,Ant212,0.0010944871632561247,2,06,F,F, , 
4334,Ant210,0.0029092578665722854,2,06,N,N,C,C
4335,Ant458,0.0038543574811776824,2,06,F, , , 
4336,Ant237,0.0013421042774797345,2,06,N,N,N,N
4337,Ant219,0.0024689973312943224,2,06,N,N, , 
4338,Ant68,0.0027367840154415195,2,06,F, , , 
4339,Ant400,0.002570133240492581,2,06,N,N,N,N
4340,Ant161,0.000846436466518672,2,06,N,N, , 
4341,Ant60,0.0011988918194979837,2,06,N,N,N,N
4342,Ant62,0.0014785460837230741,2,06,N,N, , 
4343,Ant63,0.0009120161831873702,2,06,N,N,C,C
4344,Ant65,0.0008702477229504595,2,06,C,C,C,C
4345,Ant604,0.0015931794944738296,2,06,C,C,C,C
4346,Ant607,0.002176051398543837,2,06,F,F, , 
4347,Ant610,0.0006560736134057854,2,06,N,C, , 
4348,Ant178,0.0021036550427681448,2,06,C,F,C,C
4349,Ant289,0.003949401165095428,2,06,C,F,C,C
4350,Ant80,0.0019362736299039758,2,06,N, , , 
4351,Ant632,0.0009543713498297672,2,06,C,F, , 
4352,Ant172,0.0013867996087445925,2,06,F,C,C,C
4353,Ant170,0.0026351848477370325,2,06,N,N, , 
4354,Ant176,0.0028049569609603225,2,06,F,F,F,F
4355,Ant174,0.0032923897454978754,2,06,N,N,N,N
4356,Ant207,0.0033130828942770367,2,06,N, , , 
4357,Ant206,0.0017553016757250568,2,06,N,N,N,N
4358,Ant202,0.0009832513069798685,2,06,F,F,F,F
4359,Ant209,0.0020984810641190665,2,06,N,N,N,N
4360,Ant599,0.002747167815678598,2,06,C,N,N,N
4361,Ant38,0.002141647247273748,2,06,N,N, , 
4362,Ant638,0.0008073859231528513,2,06,C,F,F,F
4363,Ant32,0.0029647043501325374,2,06,N,N, , 
4364,Ant30,0.0016166582129996364,2,06,N,N, , 
4365,Ant35,0.001249854827643551,2,06,C,C,C,C
4366,Ant232,0.0034525257532556884,2,06,C,C,C,C
4367,Ant109,0.003644826780208431,2,06,C, , , 
4368,Ant433,0.002136460455148082,2,06,N, , , 
4369,Ant342,0.0013594039432501548,2,06,N,N, , 
4370,Ant105,0.0018465562018741219,2,06,N,N, , 
4371,Ant102,0.0016359993661552896,2,06,N,N,N,N
4372,Ant437,0.0020779398050083144,2,06,N,C,C,C
4373,Ant100,0.0045962569285740735,2,06,F, , , 
4374,Ant527,0.002192875838004693,2,06,C, , , 
4375,Ant621,0.0020815855713781626,2,07,C,C,N,N
4376,Ant665,0.0014198166975652455,2,07,,,,
4377,Ant356,0.0014497656809197789,2,07,N,N,N,N
4378,Ant540,0.0062565704440851674,2,07,C,F, , 
4379,Ant227,0.0023751942181257785,2,07,C,C,C,C
4380,Ant114,0.0012813161543868122,2,07,N,N, , 
4381,Ant220,0.0064242012784640635,2,07,F, , , 
4382,Ant195,0.0032839896624175017,2,07,C,C,C,C
4383,Ant191,0.00466989137160144,2,07,C, , , 
4384,Ant217,0.0015049163930421275,2,07,C,F, , 
4385,Ant492,0.001247362377277759,2,07,N,N,N,N
4386,Ant324,0.0016162758066675283,2,07,N,N,C,C
4387,Ant329,0.007880515168383876,2,07,F, , , 
4388,Ant650,0.002781202587580335,2,07,,,,
4389,Ant556,0.0021000829082508782,2,07,N,N,N,N
4390,Ant552,0.0016972898206211806,2,07,N,N,N,N
4391,Ant252,0.0021011819803620838,2,07,N, , , 
4392,Ant256,0.0033304983298296804,2,07,F,F,C,C
4393,Ant257,0.0011949216584710685,2,07,N,N, , 
4394,Ant126,0.0029571079277940573,2,07,F,C,C,C
4395,Ant26,0.0014853351341785922,2,07,N,N, , 
4396,Ant318,0.0014462353611691093,2,07,N, , , 
4397,Ant20,0.002455493277680094,2,07,F,F, , 
4398,Ant137,0.0014448342566317895,2,07,N,N,N,N
4399,Ant332,0.0008480452200680903,2,07,N,N,N,N
4400,Ant647,0.0001165943539242802,2,07,N,C, , 
4401,Ant560,0.0011226059045271444,2,07,N,N,N,N
4402,Ant564,0.003292479374423011,2,07,F,F,C,C
4403,Ant243,0.002296093378640073,2,07,F,F, , 
4404,Ant244,0.0021369448842882407,2,07,N,N,C,C
4405,Ant50,0.000667614850021865,2,07,N,N,N,N
4406,Ant52,0.000933992753343678,2,07,N,N,N,N
4407,Ant55,0.0053880537925700845,2,07,C,F, , 
4408,Ant635,0.002204771587554909,2,07,N, , , 
4409,Ant142,0.0015677958700269928,2,07,N, , , 
4410,Ant140,0.0027212460716671493,2,07,C,C,C,C
4411,Ant147,0.0024043650620540103,2,07,N,N,C,C
4412,Ant144,0.003093869690011493,2,07,N,N, , 
4413,Ant305,0.0007766137931465595,2,07,C,C, , 
4414,Ant148,0.0012871843990407553,2,07,N,N,N,N
4415,Ant673,0.000920486699460531,2,07,,,,
4416,Ant278,0.0012746499005465957,2,07,C, , , 
4417,Ant301,0.001960901114818623,2,07,N,N, , 
4418,Ant476,0.0007366662743588966,2,07,N,N,N,N
4419,Ant575,0.0007894064747513975,2,07,C,C, , 
4420,Ant43,0.003886045737457742,2,07,F,F, , 
4421,Ant40,0.003428573526711528,2,07,C,F, , 
4422,Ant44,0.002677716497394708,2,07,N,N, , 
4423,Ant580,0.002852101280826976,2,07,C,C, , 
4424,Ant398,0.0016379370282405535,2,07,F,F, , 
4425,Ant507,0.0008659241742521793,2,07,F,F, , 
4426,Ant262,0.0013536660109036457,2,07,C,C,C,C
4427,Ant260,0.003036235793371924,2,07,N,N, , 
4428,Ant265,0.0008178617170193298,2,07,C,C, , 
4429,Ant264,0.0025363370902341162,2,07,C,F, , 
4430,Ant313,0.0029179642856975306,2,07,N,N, , 
4431,Ant158,0.002197202627384079,2,07,C,C, , 
4432,Ant311,0.003023385975230859,2,07,N,C, , 
4433,Ant268,0.002755862718189665,2,07,F,F,F,F
4434,Ant509,0.0028501262605671413,2,07,N,N, , 
4435,Ant395,0.001905796671614141,2,07,N,C, , 
4436,Ant394,0.0027050294309485636,2,07,N, , , 
4437,Ant5,0.0011776694815618033,2,07,N,N, , 
4438,Ant7,0.00159031299887201,2,07,C,C, , 
4439,Ant6,0.002336012877775708,2,07,N,N,C,C
4440,Ant0,0.0013922127645918745,2,07,N,N, , 
4441,Ant2,0.000983776122935119,2,07,N,C,F,F
4442,Ant76,0.0016863063784242087,2,07,N, , , 
4443,Ant72,0.0018300861243550268,2,07,F,F, , 
4444,Ant593,0.0012357045661845962,2,07,N,N,N,N
4445,Ant592,0.0006763623217975478,2,07,Q,Q,Q,Q
4446,Ant19,0.001071248065521548,2,07,C,N,C,C
4447,Ant15,0.001468956127943221,2,07,N,N,N,N
4448,Ant14,0.0042632416014506905,2,07,F,F, , 
4449,Ant502,0.0035495166382961516,2,07,C,C,C,C
4450,Ant97,0.0008878479477644696,2,07,N,N, , 
4451,Ant96,0.0029018026344772045,2,07,N,N,C,C
4452,Ant91,0.00290646500191795,2,07,C, , , 
4453,Ant169,0.0026329125483061035,2,07,N,N,N,N
4454,Ant298,0.001405203478645651,2,07,N,N,N,N
4455,Ant299,0.001496295108616521,2,07,N, , , 
4456,Ant296,0.0019575271261891665,2,07,N,N,C,C
4457,Ant294,5.185242798994063e-06,2,07,C,F, , 
4458,Ant99,0.0013518272563720515,2,07,N,N,N,N
4459,Ant98,0.0015136611034900504,2,07,N,N,N,N
4460,Ant518,0.0016854240792856599,2,07,C,C, , 
4461,Ant215,0.0006955210441100285,2,07,F,F, , 
