,PageRank,HubScore,AuthorityScore,Betweenness,Colony,Day,Role
Ant604,0.01678361299882791,0.0162539160744123,0.016253916073867905,0.005943160692795097,2,38,C
Ant256,0.01903289904394546,0.01761412366200348,0.017614123661687516,0.019557506491245505,2,38,C
Ant621,0.023885066084542415,0.02879599219797209,0.028795992195708116,0.008108635884202556,2,38,N
Ant137,0.012607220130496916,0.012154376788828417,0.012154376787762058,0.0037680521946098157,2,38,N
Ant356,0.01290084546258672,0.013217824488404655,0.013217824487132738,0.0028057166973889155,2,38,N
Ant332,0.02302749342415185,0.027274874099054165,0.02727487409633508,0.005563633371602907,2,38,N
Ant289,0.016853368612535776,0.005176355692474847,0.005176355702627332,0.0004999499870807666,2,38,C
Ant172,0.009862877981540516,0.008291060481994456,0.00829106048189938,0.029411387298938843,2,38,C
Ant268,0.019099377497530032,0.00920600366504132,0.009206003672580978,0.017508956896263774,2,38,F
Ant262,0.00590247700288184,0.003610181472471167,0.0036101814725672133,0.0006896912685940909,2,38,C
Ant176,0.010115050547109577,0.0028076380004751944,0.002807638005899783,0.0,2,38,F
Ant174,0.022175384982787188,0.02668773644143281,0.026687736439054262,0.010161061641703124,2,38,N
Ant560,0.018885021312084697,0.01818556670102649,0.01818556669955043,0.006311720056011699,2,38,N
Ant195,0.022350649235040036,0.024351690565697987,0.02435169056403271,0.005349963620544493,2,38,C
Ant206,0.03261600179972755,0.04155594422216855,0.041555944218619884,0.007212800674952716,2,38,N
Ant564,0.018340565333570258,0.015622644003701445,0.01562264400465896,0.005941762037945577,2,38,C
Ant638,0.01615750975440913,0.005375105738180428,0.005375105748060357,0.0011591057150041693,2,38,F
Ant202,0.01596152092112725,0.004949451689528653,0.004949451698005448,0.0006591557279234028,2,38,F
Ant502,0.010945871712509665,0.009443866239268277,0.009443866239121886,0.01045646947557191,2,38,C
Ant6,0.017257318853037884,0.01889842933946226,0.01889842933810258,0.008812445409729865,2,38,C
Ant209,0.02337128317080004,0.030469651121010237,0.030469651118279206,0.008748471952305456,2,38,N
Ant244,0.021657937391970916,0.02301609747132511,0.023016097469879114,0.009164172766040219,2,38,C
Ant2,0.0085126261169191,0.0028720552568540607,0.002872055260667979,0.001501107762971381,2,38,F
Ant599,0.014363850566342982,0.015686866823782484,0.01568686682291517,0.007005920777660706,2,38,N
Ant50,0.01641400624379474,0.01751218078360393,0.01751218078262157,0.005091814275771078,2,38,N
Ant52,0.01056101324323816,0.009894483691619204,0.00989448369080362,0.004716097214847968,2,38,N
Ant593,0.01851998929188873,0.022773531390818096,0.02277353138844396,0.0032833583266738504,2,38,N
Ant592,0.006272083394725995,0.005491767377559133,0.005491767377125149,0.00015197182725378214,2,38,Q
Ant19,0.029271404161377555,0.03278208663762097,0.032782086636045024,0.06773009993100075,2,38,C
Ant15,0.016718433331635967,0.019943756807098905,0.01994375680516426,0.002012602218047015,2,38,N
Ant492,0.013298998653503286,0.014809877492098267,0.014809877491013677,0.003985641780307149,2,38,N
Ant140,0.0139224368150324,0.015507525343470522,0.015507525342101137,0.0022018107314651825,2,38,C
Ant96,0.015124310818641866,0.014379188904272545,0.014379188904236425,0.0050372098825221005,2,38,C
Ant147,0.015625968965969385,0.017155157941074393,0.01715515793988247,0.007698039293485052,2,38,C
Ant298,0.026930366625958057,0.033100656549294075,0.03310065654604144,0.006026060404963543,2,38,N
Ant296,0.018831835436269335,0.020704887777792228,0.02070488777693421,0.00777518255963871,2,38,C
Ant148,0.018065679024427506,0.02264311857058767,0.022643118568573196,0.0026235163553596395,2,38,N
Ant673,0.01637162887652954,0.017292657387203692,0.017292657385407795,0.002322385094274363,2,38,U
Ant99,0.016592472301368736,0.02068847636801842,0.020688476366314712,0.006677625959974353,2,38,N
Ant98,0.023113490164403623,0.02494621695238492,0.02494621695165119,0.014963877551596066,2,38,N
Ant650,0.020104452622133315,0.024157326761729724,0.02415732675981113,0.001738216922464922,2,38,U
Ant476,0.01573431865391085,0.017591330535188226,0.017591330533413996,0.004152589226138621,2,38,N
Ant232,0.02149507621553776,0.020634228885603845,0.020634228885350585,0.008240148987309915,2,38,C
Ant556,0.021952845806590394,0.026005486377794495,0.026005486375247206,0.007016117394603384,2,38,N
Ant324,0.011721267146173149,0.011968565818937096,0.011968565818614248,0.0024992174033236438,2,38,C
Ant210,0.024016408852420436,0.026662403199217966,0.026662403197296722,0.01160995335062478,2,38,C
Ant237,0.015790963204937863,0.016100033533784048,0.016100033532143707,0.002394662409004595,2,38,N
Ant552,0.015460384252143793,0.016474236720572823,0.016474236719559037,0.0037307875457517057,2,38,N
Ant102,0.01455559055309008,0.015997531900469306,0.015997531898931154,0.00431291156715672,2,38,N
Ant437,0.018319628379485132,0.017056564452555312,0.017056564453031258,0.009652163339711299,2,38,C
Ant126,0.02301802969396616,0.013505048020405148,0.01350504802712045,0.05241663779497792,2,38,C
Ant227,0.022162562477185992,0.0071307114895278224,0.007130711501079209,0.007932101154485973,2,38,C
Ant400,0.012517344756144475,0.013299628967010901,0.013299628965670567,0.0023342079676611283,2,38,N
Ant60,0.020669174406696515,0.028303732755520315,0.028303732752770594,0.00438457577465547,2,38,N
Ant63,0.01668148398660755,0.017744795776029547,0.017744795775560925,0.0031713686125884196,2,38,C
Ant35,0.011860237293687521,0.010545372180465412,0.01054537218037763,0.003996673784285225,2,38,C
Ant65,0.010042977228958723,0.009633175843260572,0.00963317584253278,0.001993173719900839,2,38,C
Ant169,0.01559730718508964,0.01604680457083993,0.016046804570112573,0.005926702114280796,2,38,N
