,pagerank,hubs,auth,degcentr,between,indegcentr,outdegcentr,closecentr,evcentr,load,haratio,paratio,phratio,haprod,paprod,phprod,hadiff,padiff,phsum,hasum,pasum,ha_harmonic_mean,hasum_normed,role
ALML,0.0013205114782831456,2.1917025417780535e-05,4.0685615071771876e-05,0.06428571428571428,0.0034571091648030834,0.02142857142857143,0.04285714285714286,0.30824762976056563,0.00425390209526038,0.004092989557895076,0.4324111562372396,26.05298320664106,41.373262733547435,8.917076596660591e-10,5.372582170328451e-08,2.8941683634002652e-08,-1.8768589653991342e-05,0.0012798258632113738,0.0013424285037009261,6.260264048955241e-05,0.0013611970933549175,2.8487860981355055e-05,6.104314410725039e-05,S
ALMR,0.0009796510060515451,1.9879651529529608e-05,7.47488512800145e-06,0.03214285714285714,0.0004363110499015763,0.007142857142857143,0.024999999999999998,0.2617307954700505,0.0013265968646677417,0.0005268114359896236,1.1376127158441116,56.06051192186491,32.786560615788,1.4859811156793214e-10,7.322778735766353e-09,1.947512062085782e-08,1.2404766401528158e-05,0.0009721761209235437,0.0009995306575810747,2.735453665753106e-05,0.0009871258911795465,1.0864604539153922e-05,2.6673106918731352e-05,S
ALNL,0.001298710931566601,4.045920506065217e-06,0.00014286301656884131,0.024999999999999998,0.00022928801523825919,0.014285714285714285,0.010714285714285714,0.33831128747795414,0.008453904519532828,0.00027491796925134787,0.026467621775886848,8.49591327397187,92.46178853182319,5.780124082942099e-10,1.8553776133453467e-07,5.2544811894763715e-09,-0.0001388170960627761,0.0011558479149977596,0.0013027568520726663,0.00014690893707490653,0.0014415739481354424,7.86898904590795e-06,0.00014324928383816507,S
ALNR,0.001061162745991912,4.068768375690314e-06,4.957366337692629e-05,0.02857142857142857,0.0002490857924503497,0.007142857142857143,0.02142857142857143,0.29529325738916257,0.0032732863440226457,0.00030296188416111994,0.06829810599269281,17.812615270574668,75.4268403356128,2.0170375381515478e-10,5.260572475793778e-08,4.317625422352585e-09,-4.5504895001235975e-05,0.0010115890826149856,0.0010652315143676024,5.36424317526166e-05,0.0011107364093688383,7.52030611682014e-06,5.230614341714217e-05,S
AQR,0.002464057823771825,0.0002628382220384559,9.576127716168051e-05,0.10357142857142856,0.007017681571097192,0.03571428571428571,0.06785714285714285,0.3914744897959184,0.04577482317445395,0.007021601306770648,2.4852027990986443,23.29829867698122,9.031204665395164,2.51697238293079e-08,2.3596132420462105e-07,6.476485774001335e-07,0.0001670769448767754,0.0023682965466101445,0.002726896045810281,0.00035859949920013644,0.0025598191009335055,0.0001403779084212303,0.00034966641559016867,S
AS01,0.002508685062070556,0.009549999390727556,0.0010748430832318776,0.060714285714285714,0.0013304457939330237,0.03571428571428571,0.024999999999999998,0.41520021645021643,0.10456711664161249,0.001305578030127624,8.803115896058408,2.31248657141905,0.2624147721707788,1.0264750789992158e-05,2.6964427869736704e-06,2.395794081430113e-05,0.00847515630749568,0.0014338419788386782,0.012058684452798112,0.010624842473959433,0.003583528145302433,0.001932217031010139,0.010360166682793184,M
AS02,0.0020711041779684605,0.00813542283100076,0.001305194700395127,0.049999999999999996,0.0007314465101191259,0.02857142857142857,0.02142857142857143,0.3994637650978759,0.07955988085064228,0.0007581416014712006,6.18571746719829,1.5747510063310275,0.2542660118374728,1.0618310764495713e-05,2.703194197050641e-06,1.6849308214825675e-05,0.006830228130605632,0.0007659094775733335,0.01020652700896922,0.009440617531395886,0.0033762988783635874,0.002249494957121877,0.00920544200570275,M
AS03,0.0019604237238202817,0.009495289742829122,0.0010476524641574408,0.060714285714285714,0.00058208292615216,0.02857142857142857,0.03214285714285714,0.4083936555248031,0.09562605016592111,0.0006040198795473451,8.977703040093957,1.8535613448241874,0.20624555135725806,9.947763696963802e-06,2.0538427450530243e-06,1.861479127638959e-05,0.00844763727867168,0.0009127712596628409,0.011455713466649402,0.010542942206986563,0.0030080761879777225,0.0018870944185526597,0.010280306635994014,M
AS04,0.0017627562914350157,0.006831910575578408,0.001012046155022142,0.039285714285714285,0.00030498240585296574,0.024999999999999998,0.014285714285714285,0.3954287775716347,0.09277867390259482,0.00028272703837370166,6.684542123667985,1.7247325698288318,0.25764094282772676,6.914208829469237e-06,1.7839907269878981e-06,1.2042993349622258e-05,0.005819864420556266,0.0007507101364128738,0.008594666867013424,0.00784395673060055,0.0027748024464571575,0.0017629390540862585,0.007648555673254628,M
AS05,0.0022979934159057685,0.007615275601768722,0.0011719328476002592,0.05714285714285714,0.0022344645851502974,0.03571428571428571,0.02142857142857143,0.40298844537815126,0.10552266526650976,0.0021410235144674796,6.443069601822488,1.9442673249766314,0.30136529299645737,8.924591621241595e-06,2.693093967669094e-06,1.7499853193172362e-05,0.006443342754168463,0.0011260605683055093,0.009913269017674491,0.00878720844936898,0.0034699262635060277,0.002031268900166464,0.008568310018245909,M
AS06,0.0020457512874548192,0.007575950124588907,0.001011258642814609,0.05357142857142857,0.000590969982944668,0.02857142857142857,0.024999999999999998,0.4018066610808546,0.08757509685222682,0.0005521185257644172,7.4182482350498775,2.003166682454396,0.26967634295719567,7.661245041022946e-06,2.0687836704877993e-06,1.5498509721071252e-05,0.006564691481774298,0.0010344926446402103,0.009621701412043725,0.008587208767403515,0.003057009930269428,0.0017843388343147155,0.00837329253476357,M
AS07,0.003344775944612839,0.0004691465913037008,0.0001497711283799539,0.02857142857142857,9.762831259453755e-06,0.014285714285714285,0.014285714285714285,0.39203453913754344,0.0718734744402337,7.1232495387641344e-06,2.9363665141552793,20.93479578274356,6.98069443739984,7.026461435516433e-08,5.009508674027911e-07,1.5691902330897294e-06,0.0003193754629237469,0.003195004816232885,0.0038139225359165394,0.0006189177196836548,0.0034945470729927926,0.00022705639900269276,0.0006034998405456277,M
AS08,0.002801220404797014,0.00025427567350779987,0.00011515149650257787,0.014285714285714285,0.0,0.007142857142857143,0.007142857142857143,0.36881849644299175,0.04345214867440361,0.0,2.0317429724267204,22.382636109663416,10.599615044455987,2.9280224328624048e-08,3.2256472164593316e-07,7.122822050735525e-07,0.000139124177005222,0.0026860689082944364,0.003055496078304814,0.0003694271700103777,0.002916371901299592,0.00015851689699921924,0.00036022435794606225,M
AS09,0.00392279319965021,0.000901599844461832,0.0006031801935377336,0.02857142857142857,0.0007326752573591881,0.014285714285714285,0.014285714285714285,0.3881475111290975,0.05832226355965373,0.0008073281718058015,1.470366874148471,6.397455822924931,4.303196433700637,5.438271686760784e-07,2.366151161373519e-06,3.5367897386605616e-06,0.00029841965092409833,0.0033196130061124767,0.004824393044112042,0.0015047800379995656,0.004525973393187944,0.0007227995520182936,0.0014672944142771565,M
AS10,0.0019406196630488651,7.279381671333518e-05,9.731822815034611e-05,0.02857142857142857,0.0,0.02142857142857143,0.007142857142857143,0.39657328922886087,0.08646506885506502,0.0,0.6782987193131403,18.08285224696571,23.439185920949328,7.084165262842831e-09,1.8885766712163726e-07,1.4126511206227336e-07,-2.4524411437010937e-05,0.001843301434898519,0.0020134134797622004,0.00017011204486368128,0.0020379378911992113,8.328822651587903e-05,0.00016587437826565363,M
AS11,0.0034531432353950542,0.0014279178973308263,0.000689436781078353,0.03571428571428571,0.0030186262335006463,0.02142857142857143,0.014285714285714285,0.37745474222746955,0.056136176757108816,0.0031926818373058585,2.0415253185989752,4.937034094877293,2.4014884589760266,9.84459118779935e-07,2.380723956813256e-06,4.930805027867473e-06,0.0007384811162524733,0.0027637064543167013,0.0048810611327258805,0.002117354678409179,0.004142580016473408,0.000929895334795381,0.002064609188199698,M
ASEL,0.0018525378219952674,7.093199337142169e-06,2.5113528324840673e-06,0.060714285714285714,0.0013509060506036934,0.02857142857142857,0.03214285714285714,0.2737583844726702,0.0016346587758545718,0.0014406455160219712,0.5669410360425308,148.06854596773888,108.37864728868219,1.7813526246706095e-11,4.65237610655168e-09,1.3140420051007628e-08,4.5818465046581014e-06,0.0018500264691627833,0.0018596310213324096,9.604552169626237e-06,0.0018550491748277516,3.7093923656409923e-06,9.36529286290957e-06,S
ASER,0.0023770079347955743,8.904929088051299e-06,2.0077391328320024e-05,0.075,0.0036433473326994053,0.03571428571428571,0.039285714285714285,0.31497947454844005,0.005973909564614609,0.004109917333018537,0.29606720180106405,79.0297239826597,125.73482416804949,1.7878774605174587e-10,4.772411849741255e-08,2.1167087101089853e-08,-1.1172462240268725e-05,0.0023569305434672544,0.0023859128638836257,2.898232041637132e-05,0.002397085326123894,1.2337710955038201e-05,2.826034090421972e-05,S
ASGL,0.0013871347044675264,3.0307087139373828e-06,3.5845815620719866e-06,0.03571428571428571,0.0004665529317458823,0.017857142857142856,0.017857142857142856,0.2707827498588368,0.00143114924505959,0.0005407925774989267,0.2230991584164131,102.11096294201599,106.45120959413934,1.0863822575990845e-11,4.972297485744469e-09,4.2040012362346884e-09,-5.538728481346038e-07,0.0013835501229054544,0.0013901654131814637,6.615290276009369e-06,0.0013907192860295983,3.284458314819218e-06,6.450496568066075e-06,S
ASGR,0.0014293546647906631,2.039902469268067e-06,2.764743184104631e-06,0.04285714285714286,0.0014588024575811973,0.024999999999999998,0.017857142857142856,0.2949753959710903,0.002997430297142009,0.0015957569745414513,0.15980756054757664,111.97676633013464,118.7181265329267,5.639806448147094e-12,3.9517985671481455e-09,2.915744110166304e-09,-7.24840714836564e-07,0.0014265899216065585,0.0014313945672599312,4.804645653372698e-06,0.0014321194079747678,2.347647196079129e-06,4.6849569716160825e-06,S
ASHL,0.001758137432142742,0.00018635438003596427,0.0002041126346754393,0.09285714285714286,0.004641127786375602,0.03571428571428571,0.05714285714285714,0.33296736677660127,0.00804406703180961,0.00478670786416105,0.8703567648796059,8.21127363552272,8.953899738934886,3.8037283492448755e-08,3.5885806339616645e-07,3.276366111849829e-07,-1.775825463947502e-05,0.0015540247974673027,0.0019444918121787062,0.00039046701471140356,0.001962250066818181,0.00019482968885636771,0.00038074007840186683,S
ASHR,0.0019946997669793016,0.00023156461320048913,0.00032721184016886454,0.10714285714285714,0.0071228947619196405,0.04642857142857143,0.060714285714285714,0.33623575810692374,0.009312623239146774,0.0074830235079621854,0.6867036847950808,5.915272031908553,8.257417096616628,7.577068320332339e-08,6.526893813377025e-07,4.619018799916678e-07,-9.564722696837541e-05,0.001667487926810437,0.002226264380179791,0.0005587764533693536,0.0023219116071481662,0.0002712021336848947,0.0005448567552427149,S
ASIL,0.0012876483892525215,2.9760477357994136e-06,3.118811318298088e-07,0.04285714285714286,0.00032822648548115147,0.007142857142857143,0.03571428571428571,0.2348176031337985,0.00034075823640610257,0.0005683199203555935,0.28860376664091003,124.87036776228166,99.23271056564076,9.281731362206608e-13,4.015932370389066e-10,3.832103073340729e-09,2.664166603969605e-06,0.0012873365081206916,0.001290624436988321,3.2879288676292223e-06,0.0012879602703843513,5.645944140451705e-07,3.2060231663003806e-06,S
ASIR,0.0012006678039768839,1.7957959970142496e-06,3.843991234849991e-07,0.03571428571428571,0.0002145831826790437,0.007142857142857143,0.02857142857142857,0.23381582155046318,0.0003671484997704132,0.0004317541401100631,0.17293210475249735,115.62227045583165,101.7877728879676,6.903024072101476e-13,4.615356514453729e-10,2.156154436125578e-09,1.4113968735292505e-06,0.0012002834048533988,0.001202463599973898,2.180195120499249e-06,0.001201052203100369,6.332482819721873e-07,2.1258842100241785e-06,S
ASJL,0.0012819720529435494,4.243118815679995e-06,6.381692500597515e-05,0.02857142857142857,0.0004072603979259509,0.010714285714285714,0.017857142857142856,0.2585208894878706,0.001584746429499128,0.0005490295313484,0.05748165228145894,17.366912166007722,90.00641429265121,2.7078279525169236e-10,8.181151436245449e-08,5.439559739020685e-09,-5.957380619029515e-05,0.0012181551279375742,0.0012862151717592295,6.806004382165515e-05,0.0013457889779495246,7.95717369683901e-06,6.636459789015484e-05,S
ASJR,0.0010827935312386944,7.337665515481324e-06,0.00011015614651758267,0.024999999999999998,0.0003196296721298367,0.010714285714285714,0.014285714285714285,0.2511751996857405,0.0006162236030507811,0.00042587737009232594,0.06106774999152948,9.011553404637915,62.45324840716504,8.082889576203746e-10,1.1927636287542036e-07,7.945176754556419e-09,-0.00010281848100210135,0.0009726373847211117,0.0010901311967541757,0.000117493812033064,0.001192949677756277,1.3758834505989364e-05,0.00011456691991836132,S
ASKL,0.00300708222107634,3.330037910768988e-06,0.00019886846179553423,0.060714285714285714,0.0030406172087749147,0.039285714285714285,0.02142857142857143,0.296571583178726,0.0038242018510726487,0.0031585836067887433,0.01594322992634873,14.39701425110334,225.5869218981738,6.622395170354431e-10,5.980138157981503e-07,1.0013697796983624e-08,-0.00019553842388476524,0.0028082137592808057,0.0030104122589871087,0.00020219849970630322,0.003205950682871874,6.550390017703963e-06,0.00019716152640401096,S
ASKR,0.0019698092564612475,7.179202067133333e-06,6.455693385509508e-05,0.05357142857142857,0.0028767694912168354,0.02142857142857143,0.03214285714285714,0.2872454327643007,0.002591862587152216,0.0033647815303105796,0.09629154118765736,26.42020204706466,114.66244175739803,4.6346727298028847e-10,1.2716484587652278e-07,1.4141658685844962e-08,-5.737773178796175e-05,0.0019052523226061524,0.001976988458528381,7.173613592222842e-05,0.0020343661903163427,1.2921445155137685e-05,6.994911474267112e-05,S
AUAL,0.0021073609713037917,9.016015365572354e-05,1.529086369637017e-05,0.060714285714285714,0.005455738120410881,0.03214285714285714,0.02857142857142857,0.34168596366227294,0.01276555878180426,0.005110636294986565,3.5649297998732887,83.32499026540746,21.03991352237077,1.3786266203934593e-09,3.2223369371256525e-08,1.8999998898082465e-07,7.486928995935337e-05,0.0020920701076074214,0.0021975211249595154,0.00010545101735209371,0.002122651835000162,2.614724172437938e-05,0.000102824123681401,S
AUAR,0.0016563736870277468,6.033471699623213e-05,1.762198767653328e-05,0.06428571428571428,0.004426428422999052,0.03214285714285714,0.03214285714285714,0.3391486916548798,0.008475595023081359,0.004788382642854844,2.1843003372089145,59.96576735985392,23.549873487320347,1.0632176393747257e-09,2.918859670053695e-08,9.993683764682467e-08,4.271272931969885e-05,0.0016387516993512136,0.001716708404023979,7.795670467276541e-05,0.00167399567470428,2.7277131424108707e-05,7.601472270582819e-05,S
AVAL,0.02869058020136984,0.0005905455966554934,0.0214834375401777,0.47857142857142854,0.11788478836179198,0.29642857142857143,0.18214285714285713,0.5373179271708683,0.33669747428370583,0.1135795816801747,0.027475623457233683,1.3348530288716507,47.77419127065611,1.2686949440375265e-05,0.0006163722877475879,1.694309580341024e-05,-0.020892891943522205,0.007207142661192142,0.029281125798025335,0.022073983136833192,0.05017401774154754,0.0011494934431842986,0.02152409743591564,I
AVAR,0.028754958070123543,0.00038311102265491933,0.022085172334670142,0.48928571428571427,0.12207214635424544,0.2857142857142857,0.20357142857142857,0.5373179271708683,0.32771520099683904,0.11935022345855636,0.0173391280616431,1.301413613552285,73.1471681356674,8.46107295864561e-06,0.0006350582044548924,1.1016341392644356e-05,-0.021702061312015224,0.0066697857354534006,0.02913806909277846,0.02246828335732506,0.05084013040479368,0.0007531570457862461,0.021908575230986,I
AVBL,0.012910334047510602,0.0002863144511246903,0.009432529780655554,0.36428571428571427,0.06938695668188816,0.21428571428571427,0.15,0.5037355567226891,0.20820759949485101,0.06696061959500128,0.030321794876543427,1.3672537283344732,43.569707783431326,2.7006695868656904e-06,0.00012177711038135512,3.6964152066493996e-06,-0.009146215329530864,0.0034778042668550477,0.013196648498635293,0.009718844231780245,0.022342863828166158,0.000555759413868288,0.00947673779184266,I
AVBR,0.014580361437616061,0.0003838686662826837,0.011301211928605422,0.37142857142857144,0.07432199450148134,0.22857142857142856,0.14285714285714285,0.5150980128893663,0.22637443894681578,0.07033264773869544,0.03393700592877243,1.2890185003733459,37.01833297689028,4.338181150411719e-06,0.00016477575460216513,5.59694389897715e-06,-0.010917343262322738,0.0032791495090106395,0.014964230103898746,0.011685080594888106,0.02588157336622148,0.000742516256551889,0.011393993177933598,I
AVDL,0.004539302377483496,0.0011242495025700905,0.0013311213378170916,0.18571428571428572,0.010754944025599638,0.10357142857142856,0.08214285714285714,0.4329101782893252,0.11833040303851154,0.011389899308212718,0.8382906683149208,3.3847066998963724,4.002031622846572,1.4965125019012987e-06,6.0423622534721355e-06,5.10330843990105e-06,-0.00020687183524700108,0.0032081810396664048,0.005663551880053587,0.002455370840387182,0.0058704237153005875,0.0012189706559073716,0.002394205018740526,I
AVDR,0.005465486586318181,0.001079486999071556,0.0010394637598830692,0.225,0.0209446922314109,0.125,0.09999999999999999,0.4521982555398397,0.10478525596622439,0.021086278781933674,1.0286081714644741,5.207885012558359,5.016568890657515,1.1220876147998108e-06,5.681175236604778e-06,5.899921713530456e-06,4.002323918848665e-05,0.004426022826435111,0.006544973585389737,0.0021189507589546254,0.006504950346201251,0.0010590973953102975,0.0020661655087315565,I
