,PageRank,HubScore,AuthorityScore,Betweenness,Colony,Day,Role
Ant298,0.02573407562074951,0.02676692486571406,0.02676692486676455,0.008472812233730045,2,33,N
Ant256,0.019739210457374805,0.020067955454522737,0.020067955453372543,0.03098575885896699,2,33,C
Ant621,0.02493807818565154,0.028636676910255753,0.028636676909747413,0.005823885652933633,2,33,N
Ant137,0.014849315643475816,0.014472419936712597,0.014472419937123435,0.002988097278075661,2,33,N
Ant356,0.01487068631761689,0.015385449207212548,0.015385449207852744,0.0022806769108522397,2,33,N
Ant400,0.014014730461967245,0.014205207068731122,0.014205207069151963,0.003567771569293662,2,33,N
Ant289,0.01426082642874442,0.01101278879462301,0.011012788794182127,0.03251790216436152,2,33,C
Ant172,0.018260614982161298,0.021288259929324004,0.021288259928436692,0.005018006267192418,2,33,C
Ant268,0.01973342753292264,0.012493007099042407,0.012493007098130478,0.03062415984895703,2,33,F
Ant262,0.009345632341538004,0.008106482614991356,0.00810648261451339,0.000822303988685247,2,33,C
Ant176,0.00918517612599571,0.0011736263145959692,0.001173626314422293,0.0001323499435482934,2,33,F
Ant604,0.02612946594268938,0.032895796691847806,0.032895796690330575,0.006319564752858147,2,33,C
Ant560,0.016831706822586015,0.01749001079565193,0.017490010795739,0.0049076499023817865,2,33,N
Ant206,0.025145283590007294,0.027017872144924477,0.027017872146176975,0.006890208737756252,2,33,N
Ant564,0.022454446447175782,0.022586417204035206,0.022586417203048985,0.017483037100160147,2,33,C
Ant638,0.01028480640662034,0.0024264024937401037,0.0024264024934547873,0.0011713989421052002,2,33,F
Ant202,0.010553494070954381,0.002018259310428526,0.002018259310181593,0.0009561952036350899,2,33,F
Ant502,0.01546948737808503,0.015642339030457017,0.015642339030160157,0.007963137855768408,2,33,C
Ant6,0.01735426317220358,0.017703554220247494,0.01770355422042983,0.0059979023643480555,2,33,C
Ant209,0.016296866659344537,0.016287327505176075,0.016287327505892516,0.0038408101522670914,2,33,N
Ant244,0.015081446769961732,0.01585708066946431,0.015857080669453145,0.00476628361847837,2,33,C
Ant2,0.004455239397518612,0.0005828762011980493,0.0005828762011370766,0.0001323499435482934,2,33,F
Ant195,0.021820030619731163,0.024833141058546972,0.024833141058362575,0.007881041757459776,2,33,C
Ant50,0.013492693092342304,0.010991331812558411,0.010991331812908619,0.0021313854850869124,2,33,N
Ant52,0.006880885720920779,0.0038990060659233735,0.0038990060661067247,0.0013435667548244178,2,33,N
Ant174,0.015007377290222704,0.014520316487879296,0.014520316488110998,0.003184283884341186,2,33,N
Ant593,0.02481581330626724,0.027572324713756247,0.027572324714039666,0.0070463656517868465,2,33,N
Ant592,0.01433760044486695,0.015973667173968493,0.015973667174795533,0.0012452165035568806,2,33,Q
Ant19,0.021041873517610152,0.021847250969039556,0.021847250969274465,0.018124466293159388,2,33,C
Ant599,0.021556097956346977,0.02359511492126717,0.023595114921555922,0.0067592604653126526,2,33,N
Ant492,0.020959738125856404,0.023655190521955586,0.023655190522750984,0.006264657660719743,2,33,N
Ant15,0.0166803894958389,0.016539377468768806,0.01653937746932775,0.0035405880025440113,2,33,N
Ant140,0.012447527066659829,0.01117149409320738,0.011171494093144258,0.0033733966885364838,2,33,C
Ant96,0.015566297159593356,0.016105648184811715,0.016105648184970386,0.003209333025616017,2,33,C
Ant147,0.017939774700179198,0.018715409179956167,0.018715409180075526,0.006131448571689906,2,33,C
Ant324,0.01372667404732936,0.014445383430914258,0.014445383430669844,0.004652260689555492,2,33,C
Ant296,0.01349561581014504,0.014626882047650919,0.01462688204770366,0.00428477881877492,2,33,C
Ant148,0.016107029585212655,0.015288122492202422,0.015288122492567864,0.004043988889902777,2,33,N
Ant673,0.01580501141952676,0.01630345482504805,0.01630345482514491,0.0029732588450287114,2,33,U
Ant99,0.017737496901675007,0.01756968548017884,0.01756968548022918,0.007668022184378412,2,33,N
Ant98,0.016963470083749106,0.017284767350478795,0.01728476735115081,0.005624488752721911,2,33,N
Ant650,0.029047941565492386,0.03193307655602984,0.031933076556489366,0.007780783174216693,2,33,U
Ant476,0.0217547009811443,0.021851299519137828,0.021851299520008655,0.005762272305554382,2,33,N
Ant232,0.018301744141863925,0.018789675045008433,0.018789675044245814,0.005692229038886389,2,33,C
Ant556,0.01672067997382437,0.01609357839909763,0.01609357839958769,0.00208592788822568,2,33,N
Ant210,0.023962160052936787,0.027572938086066843,0.027572938086072783,0.006216353908238343,2,33,C
Ant237,0.01890880218219985,0.019146082854579097,0.019146082854823606,0.0070204804136815,2,33,N
Ant552,0.014047642932351683,0.014514228464988684,0.014514228465358598,0.0030496483154545235,2,33,N
Ant102,0.00921128675222206,0.005539159569174212,0.005539159569412321,0.0019814409939241996,2,33,N
Ant437,0.020635138294814073,0.020046413013641507,0.02004641301273531,0.003382493559072981,2,33,C
Ant126,0.03090838751846181,0.03521654921168686,0.03521654921002082,0.016772364466482313,2,33,C
Ant227,0.01960112125610618,0.0218732339799078,0.02187323397896985,0.004955705996983468,2,33,C
Ant332,0.01661219144160616,0.017071606112803155,0.01707160611263963,0.004253978168805303,2,33,N
Ant60,0.019270316020198467,0.018071920323014076,0.01807192032366163,0.0044197336892382606,2,33,N
Ant63,0.016566182368441436,0.016635166064396852,0.01663516606492351,0.0016185869284161725,2,33,C
Ant35,0.013537194125049924,0.015719356749832904,0.015719356749028045,0.003761408542214972,2,33,C
Ant65,0.010794103287392848,0.011019843044987059,0.011019843044676559,0.0038322257963775185,2,33,C
Ant169,0.018750730006475244,0.019851570264637904,0.01985157026475391,0.007077312143186919,2,33,N
