,PageRank,HubScore,AuthorityScore,Betweenness,Colony,Day,Role
Ant621,0.009003124517839611,0.01162055875519636,0.011620558754746598,0.001481307645759306,3,23,F
Ant540,0.007268960487287294,0.004550362080373149,0.004550362080806354,0.002010172844261284,3,23,N
Ant227,0.01117782131947038,0.011818250644238686,0.011818250644429984,0.0034688612957237287,3,23,C
Ant117,0.007045031772668239,0.008633261705284922,0.008633261705016257,0.0034603062848504716,3,23,F
Ant111,0.004656556047022445,0.004241144959909214,0.004241144959962497,0.0016423216214885412,3,23,C
Ant220,0.007648407986534457,0.006714251906257108,0.006714251906626424,0.0020338580629900463,3,23,N
Ant194,0.008718808760094683,0.010275849084616411,0.010275849084485464,0.003074397317849282,3,23,F
Ant196,0.025501655592029868,0.02956444676229985,0.02956444676175528,0.008453345322204245,3,23,F
Ant191,0.00801511695153121,0.006187647363559251,0.006187647363913568,0.0026579053347245882,3,23,N
Ant190,0.006693173885200469,0.007229444655479166,0.007229444655457157,0.002323185078256032,3,23,F
Ant518,0.0013456346853427162,1.5449527949162666e-05,1.5449527952437926e-05,0.0,3,23,C
Ant324,0.010698157288469486,0.010919142499608191,0.010919142499877929,0.00295002797949694,3,23,N
Ant329,0.007954574389767887,0.004831246712478467,0.0048312467129734546,0.0020573890902863003,3,23,N
Ant650,0.00662625167030791,0.008504988844560085,0.00850498884413199,0.0008706810173342026,3,23,F
Ant556,0.005895904549849987,0.00592051365968636,0.005920513659716304,0.0019591277357906257,3,23,F
Ant252,0.007942052909634182,0.009317393415210163,0.009317393414909786,0.005032810446377592,3,23,F
Ant251,0.005292899892203185,0.005570774443970327,0.005570774443492476,0.0009592007582745675,3,23,F
Ant256,0.009258736719501321,0.012541897255200588,0.012541897254866532,0.0030283590129048512,3,23,F
Ant126,0.007511001232359284,0.008582087995370616,0.008582087995289915,0.001924925395878305,3,23,F
Ant255,0.008053224929901385,0.010887474312991717,0.010887474312258729,0.0015284016047393545,3,23,F
Ant26,0.007257311693137947,0.007151759462239495,0.0071517594623461715,0.0026426214112653897,3,23,F
Ant27,0.00600786537568962,0.00694577055078515,0.006945770550488532,0.0022296526354364833,3,23,F
Ant20,0.011527477790111741,0.009297960535051546,0.009297960535749543,0.002345499462593684,3,23,N
Ant23,0.006875569167826247,0.005944412731144999,0.005944412731392897,0.0015251103633326594,3,23,N
Ant124,0.00724698481881997,0.007985913914729761,0.007985913914266361,0.002273842613642775,3,23,F
Ant137,0.00826303828891358,0.0047143647543882615,0.004714364754888078,0.002425578636667374,3,23,N
Ant334,0.007391543157780537,0.004563955027203733,0.004563955027689611,0.0012109276776752006,3,23,N
Ant560,0.006326635445149392,0.007235516105148611,0.007235516104493262,0.0005239057499927103,3,23,F
Ant564,0.006303392690500965,0.003420693337470978,0.003420693337884579,0.0009251212787202318,3,23,N
Ant243,0.0091259163793762,0.01013031824025678,0.010130318240137973,0.004972210520093217,3,23,F
Ant242,0.007280213010922106,0.004858507086835036,0.004858507087267898,0.0014227866062502517,3,23,N
Ant245,0.0015975299540339862,0.00041735416078317545,0.00041735416077188066,7.948866585451433e-05,3,23,C
Ant244,0.004955147750618855,0.0032754449161356285,0.0032754449163931694,0.001159630914560796,3,23,N
Ant51,0.008202195279994638,0.01002612656394507,0.010026126564017055,0.0028674242649685553,3,23,F
Ant50,0.004388489575399981,0.0047753296947481835,0.004775329694294734,1.4316662676883334e-05,3,23,F
Ant53,0.008277539706547809,0.004642822893231773,0.004642822893833475,0.001378184686846748,3,23,N
Ant52,0.010044920706933991,0.009885727919811274,0.009885727920094432,0.002587922621244307,3,23,C
Ant54,0.006684781075069694,0.008257674203472546,0.008257674203283329,0.003210792566529122,3,23,F
Ant390,0.00991428635846777,0.008512151484586169,0.008512151485128808,0.0024808928178124603,3,23,N
Ant308,0.00864069618605708,0.007897753751288815,0.007897753751706881,0.002592048320117328,3,23,N
Ant9,0.00809193614231134,0.007937940455585206,0.007937940455744866,0.0023191936086690585,3,23,C
Ant673,0.00681939206482142,0.007794334086967486,0.007794334086797751,0.0028493960670087533,3,23,F
Ant278,0.0067302562152842015,0.007273095673190263,0.00727309567326563,0.0028190058584870083,3,23,F
Ant301,0.008448867257769905,0.008341341237871393,0.00834134123807484,0.004642340145309278,3,23,N
Ant476,0.008497774944685914,0.011630373166960173,0.011630373166405365,0.003015709504504678,3,23,F
Ant475,0.008020802934477267,0.010856706010905862,0.010856706010272261,0.0026165062124051375,3,23,F
Ant380,0.012384876154160921,0.017053295112861133,0.017053295111433893,0.0023754456771103204,3,23,F
Ant229,0.011015787800103918,0.011604162323246507,0.011604162323316047,0.003755789463659012,3,23,C
Ant576,0.007343677166445492,0.004244979045098814,0.004244979045592656,0.0017652813953469106,3,23,N
Ant115,0.013715805404249187,0.010416525475526303,0.010416525476332036,0.0026293638798068363,3,23,N
Ant48,0.011108311217517675,0.01326589363475561,0.01326589363404859,0.00751485483134122,3,23,F
Ant580,0.006186374412394951,0.003130010388595238,0.0031300103889856687,0.000931583793423653,3,23,N
Ant398,0.007739013886287159,0.004936126175139549,0.0049361261756397865,0.0015923038274841702,3,23,N
Ant663,0.016602770127653894,0.018224500804680216,0.018224500804765387,0.003812580196305249,3,23,U
Ant740,0.010437792346622095,0.009935330348601917,0.009935330348977613,0.0027391753015560717,3,23,C
Ant954,0.010224327897125726,0.008268809309178412,0.008268809309718711,0.002108502460390037,3,23,U
Ant260,0.010829969663046736,0.013501269853112915,0.013501269852527559,0.003541869695130953,3,23,F
Ant264,0.0070032689454110454,0.00487062866951833,0.004870628669916054,0.0015769302355361512,3,23,N
Ant159,0.007732298266816494,0.003877275606909729,0.003877275607439864,0.005393773587024466,3,23,N
Ant158,0.010316843024657239,0.008175469711198896,0.008175469711846493,0.001692634637666596,3,23,N
Ant112,0.004257255308508087,0.004017057876571058,0.0040170578761836275,4.424538260064509e-05,3,23,F
Ant509,0.012756751906261622,0.017172465724402737,0.017172465722964117,0.0021177429567599258,3,23,F
Ant397,0.009445020290185981,0.00975941126583916,0.009759411266025544,0.0028083818716642867,3,23,N
Ant395,0.009720378478769064,0.010868482872572239,0.010868482872028115,0.004703191204938979,3,23,F
Ant394,0.00782438776320578,0.006892834526424558,0.0068928345268107665,0.002282555541863866,3,23,N
Ant4,0.007285636590092869,0.008446966110935997,0.008446966110409942,0.0019999883489449895,3,23,F
Ant7,0.01676391825710224,0.0246183090622265,0.02461830906024396,0.002739269809394533,3,23,F
Ant6,0.00766320611172476,0.010711255721740498,0.01071125572115672,0.00182533845732256,3,23,F
Ant1,0.009391491640116264,0.01078660777769682,0.010786607777523214,0.004255535238241065,3,23,F
Ant0,0.00752001918715734,0.009661431861049136,0.009661431860555597,0.0017039708451448545,3,23,F
Ant482,0.008021491846170035,0.011552378087921906,0.011552378087945422,0.0016132842317267172,3,23,C
Ant76,0.00963535142963359,0.013367361400176477,0.013367361399365363,0.00403462738025774,3,23,F
Ant74,0.005293366364326991,0.00340379938863969,0.003403799388946308,0.0007470064873108743,3,23,N
Ant72,0.0060413258060313235,0.003643433129840936,0.003643433130236375,0.000540709256439444,3,23,N
Ant71,0.007247558434579815,0.0053346637877462995,0.005334663788127463,0.002351111523265054,3,23,N
Ant70,0.010716929106404711,0.012232639128144405,0.012232639128009627,0.00359671543062326,3,23,F
Ant610,0.007759237369969118,0.004022354485888614,0.004022354486419655,0.0010063528075338884,3,23,N
Ant19,0.010016670725104964,0.012289470352114541,0.012289470351501007,0.003126112977636581,3,23,F
Ant614,0.007660885076606313,0.006105284377013914,0.006105284377355854,0.001891040501581211,3,23,N
Ant15,0.005885312784396279,0.005958100447420111,0.00595810044740221,0.002867548462862397,3,23,C
Ant17,0.008994623565034998,0.006960445339447651,0.006960445339958699,0.00144040663530637,3,23,N
Ant13,0.007963065322957109,0.006324987464643745,0.006324987465012288,0.002300243290350849,3,23,N
Ant12,0.01451441942869123,0.01811060896885482,0.01811060896853624,0.005636114112816622,3,23,C
Ant97,0.014565930270001226,0.012373096368671628,0.012373096369414376,0.003834584924517262,3,23,N
Ant96,0.01008446660694769,0.01007646046575747,0.010076460466017524,0.004357744411739051,3,23,N
Ant299,0.006023884778620089,0.006629493297078941,0.006629493296744409,0.0028775813042261345,3,23,F
Ant296,0.007695559847918937,0.009847559280202483,0.00984755927969555,0.003615295270244476,3,23,F
Ant331,0.006864206443147423,0.0064354284565872975,0.0064354284567476735,0.003611976874888809,3,23,N
Ant215,0.0238712008144258,0.028613649039951287,0.028613649039435606,0.005579082566295725,3,23,C
Ant210,0.005883033050593314,0.006539522868584188,0.0065395228683326825,0.002266075611577206,3,23,F
Ant458,0.010745600792167659,0.014152917633365302,0.01415291763276939,0.0053680626922902475,3,23,F
Ant219,0.008344285827695806,0.004966885249433723,0.004966885249926629,0.008317685652475055,3,23,N
Ant60,0.011419554795541053,0.010117355085198915,0.010117355085686258,0.0035174930261716907,3,23,N
Ant62,0.00695020866788001,0.005556617709913128,0.005556617710253747,0.0023720824894582523,3,23,N
Ant65,0.015296411341182705,0.022241435944008084,0.022241435942828885,0.002937023463216015,3,23,F
Ant604,0.009701869586878508,0.0047892599383465104,0.004789259939119941,0.0003887764610535888,3,23,Q
Ant607,0.007349170926078869,0.0045718578710519245,0.00457185787156391,0.0009682291234225983,3,23,N
Ant178,0.008609498644031207,0.005840828530886537,0.005840828531422313,0.002149029733504404,3,23,N
Ant289,0.005619628034988065,0.003568292020143085,0.0035682920204728502,0.001496078680087327,3,23,N
