,Colony,Day,Degree Assortativity Coefficient,Average Clustering,Nodes,Edges,Density,Diameter,Betweenness Centrality,Average Degree,Normalized Degree Average
0,1,01,-0.030060521597985092,0.7988466644131458,113,4550,0.7190265486725663,2,0.0025312923543012044,80.53097345132744,114.02615709922469
1,1,02,0.01980309194760139,0.8097111625984166,113,4573,0.7226611883691529,2,0.0024985478525301535,80.93805309734513,114.6025530581878
2,1,03,0.07167357150589855,0.8130390173078639,113,4483,0.7084386852085968,3,0.002632373207594446,79.34513274336283,112.34709061007125
3,1,04,0.06978509394225292,0.7714347721420958,113,4094,0.6469658659924147,3,0.003186182389722212,72.46017699115045,102.59848069543426
4,1,05,0.049265825036778524,0.7709699021860424,113,4149,0.6556573957016435,2,0.003102185624309517,73.43362831858407,103.97681885817212
5,1,06,0.06055384091792219,0.789484084144165,113,4259,0.6730404551201011,3,0.0029526998553547224,75.38053097345133,106.73349518364789
6,1,07,0.048840640715371794,0.7645358029844127,113,4077,0.6442793931731985,3,0.003208961173562942,72.15929203539822,102.1724488996789
7,1,08,0.09846013278235456,0.7594072523556428,113,4076,0.6441213653603034,3,0.003224621587453447,72.14159292035399,102.14738820581096
8,1,09,0.04916612326214424,0.7713897771242976,113,4128,0.6523388116308471,3,0.0031349301260805685,73.06194690265487,103.45054428694495
9,1,10,0.08232939346434626,0.7510247145817875,113,3943,0.6231036662452591,3,0.003408275532169336,69.78761061946902,98.81431592137207
10,1,11,0.1013437507143123,0.693292140181675,113,3454,0.5458280657395702,3,0.004100181091331533,61.13274336283186,86.55963661993893
11,1,12,0.0246981419154502,0.7729367739788396,99,3248,0.6695526695526696,2,0.0034066735097662945,65.61616161616162,106.04632180389756
12,1,13,0.05617179578558819,0.77877471296752,99,3252,0.6703772418058133,2,0.0033981727648885237,65.6969696969697,106.17692072237527
13,1,14,0.013599339910081934,0.7902046795501146,99,3399,0.7006802721088435,3,0.0030900207630693627,68.66666666666667,110.97643097643099
14,1,15,0.04992311071116725,0.7863866203673976,99,3301,0.6804782519068233,2,0.0032940386401358415,66.68686868686869,107.77675747372719
15,1,16,0.04159249303881339,0.8017220825277699,99,3397,0.7002679859822717,2,0.0030900207630693635,68.62626262626263,110.91113151719213
16,1,17,0.009871284704262582,0.7933259090341688,99,3342,0.6889301175015461,2,0.0032069060051386996,67.51515151515152,109.11539638812366
17,1,18,0.026277943267515147,0.7903249228860597,99,3423,0.7056277056277056,2,0.003034765921363858,69.15151515151516,111.76002448729722
18,1,19,0.033517184665432985,0.7808178117693598,99,3196,0.6588332302618017,2,0.0035171831931773024,64.56565656565657,104.34853586368739
19,1,20,0.03276218819291653,0.7731282745833484,99,3147,0.6487322201607916,3,0.0036255676903688677,63.57575757575758,102.74869911233547
20,1,21,0.009094587653656182,0.7943603823838417,99,3266,0.6732632446918161,2,0.003368420157816327,65.97979797979798,106.63401693704724
21,1,22,-0.022041155873165727,0.7938651579953551,80,2269,0.7180379746835444,2,0.003614897760467381,56.725,113.45
22,1,23,0.016165524982426103,0.7927789913631215,80,2246,0.7107594936708861,2,0.003708211619604024,56.15,112.3
23,1,24,0.007155777700911488,0.8239701669330491,80,2372,0.7506329113924051,2,0.0031970139565076273,59.3,118.6
24,1,25,0.004715127478237544,0.761833940454101,80,2117,0.6699367088607595,2,0.004231580655631287,52.925,105.85
25,1,26,0.01907108019955683,0.7763517386487194,80,2137,0.6762658227848102,3,0.004154495293735801,53.425,106.85
26,1,27,0.0718851372146207,0.776820729041361,80,2010,0.6360759493670886,2,0.004665692956832196,50.25,100.5
27,1,28,0.062401627767010116,0.7890511151821191,80,2143,0.6781645569620253,3,0.004138266796494644,53.575,107.15
28,1,29,0.05499731935391472,0.8104190700218318,80,2221,0.7028481012658228,3,0.0038218111002921136,55.525,111.05
29,1,30,0.00853370170667877,0.8131126558566246,80,2220,0.7025316455696202,2,0.0038136968516715363,55.5,111.0
30,1,31,0.09597594958672666,0.7320164876818699,80,1882,0.5955696202531645,3,0.0051890619928594605,47.05,94.1
31,1,32,0.010204003754959072,0.7954310342033846,56,1090,0.7077922077922078,3,0.005519480519480521,38.92857142857143,111.22448979591839
32,1,33,-0.008918094951832569,0.7819164754706494,56,1082,0.7025974025974026,3,0.005591630591630593,38.642857142857146,110.40816326530613
33,1,34,-0.009233186381538706,0.8161480053823402,56,1118,0.7259740259740259,3,0.005146705146705145,39.92857142857143,114.08163265306123
34,1,35,0.0013210526844133574,0.870735157081772,56,1210,0.7857142857142857,3,0.003992303992303992,43.214285714285715,123.46938775510205
35,1,36,0.08011982673941548,0.8309768929096835,56,1083,0.7032467532467532,3,0.005591630591630592,38.67857142857143,110.51020408163266
36,1,37,0.003882167824343139,0.8587187416674348,55,1158,0.7797979797979798,2,0.004154755098151323,42.10909090909091,122.49917355371902
37,1,38,7.953291910679405e-05,0.8150901286371813,56,1134,0.7363636363636363,3,0.00511063011063011,40.5,115.71428571428571
38,1,39,-0.012636378899331169,0.8227365533954883,55,1106,0.7447811447811448,2,0.004815450098468966,40.21818181818182,116.99834710743802
39,1,40,-0.028732190059978718,0.809448324422684,55,1094,0.7367003367003367,2,0.004967918175465345,39.78181818181818,115.72892561983471
40,1,41,-0.00636202693632442,0.8303838599367609,55,1129,0.7602693602693603,2,0.004523219617559241,41.054545454545455,119.43140495867769
41,2,01,0.0216288131424959,0.8325174876585462,131,6591,0.7740458015267175,2,0.001751582933901414,100.62595419847328,122.90192879202843
