,PageRank,HubScore,AuthorityScore,Betweeness
Ant621,0.009484532319277643,0.012239988957263238,0.012239988956977602,0.003010183815259297
Ant540,0.007668263989368468,0.003826505379741423,0.0038265053801584104,0.0017744612513661607
Ant227,0.012120872625650463,0.012854678195900058,0.012854678196038721,0.004530332255685352
Ant117,0.007283083422393558,0.008525990809422818,0.00852599080927872,0.0023006675383490708
Ant111,0.005228613943819038,0.004042524493745267,0.004042524493861455,0.0017952983405321759
Ant112,0.008108278399786511,0.009238186863958641,0.009238186863848554,0.0019491842623096801
Ant194,0.009555847654370236,0.01193354507065071,0.011933545070472966,0.0022855035382797835
Ant196,0.014195917567987845,0.019656218853594812,0.01965621885285597,0.005786628142734969
Ant191,0.007527771540323909,0.00378143040535832,0.0037814304057339795,0.002273885567245428
Ant190,0.006376733207261643,0.0053305787290061826,0.005330578729204335,0.0018368418056746542
Ant518,0.0013659374441132278,2.2465828159676574e-05,2.246582816487445e-05,0.0
Ant324,0.005859539832013715,0.003943905324699162,0.0039439053249103375,0.0015413221933837922
Ant329,0.0064556217217933455,0.0029001009768977624,0.002900100977292421,0.0010324652135711011
Ant650,0.008382208882548927,0.012281491871695088,0.012281491871225658,0.0014298780013217282
Ant556,0.006496800183505748,0.007172542843311082,0.007172542843256744,0.0013864096689113626
Ant252,0.009266479769256427,0.010604288282432608,0.010604288282272703,0.0035846117763098004
Ant251,0.008806091237030805,0.014021039277008039,0.014021039276155152,0.0016943034245212882
Ant256,0.008552984736579866,0.010021218152330438,0.010021218152302181,0.0027027522664306945
Ant126,0.012512500647472514,0.01673614387072199,0.016736143870389245,0.0018049017913355616
Ant255,0.015796235689676967,0.024162753060925895,0.024162753059799744,0.0031773747040796177
Ant26,0.009581918945942892,0.012787311616556213,0.012787311616303657,0.00167567070710425
Ant27,0.011769201176896272,0.016882636838901892,0.01688263683830594,0.0034325142759125352
Ant20,0.010935096246158928,0.007424872490263357,0.00742487249086631,0.003285720324983347
Ant23,0.0055975266079309315,0.0031719501843237748,0.003171950184574382,0.0013868269171396688
Ant482,0.0068501833446514,0.008122407110557894,0.008122407110499517,0.001512435809409046
Ant331,0.00759525556720576,0.005763734739681473,0.005763734739994429,0.0025892817088798703
Ant334,0.007111118139951712,0.004045468827312079,0.00404546882768294,0.0021192272351634807
Ant560,0.006272564099022686,0.00740311475977446,0.007403114759292349,0.0005570122409066896
Ant564,0.006139779278460564,0.00256396787443327,0.0025639678747519123,0.0011278003801928863
Ant243,0.01031545542102415,0.011663126386482498,0.011663126386394619,0.0052230384901074635
Ant242,0.00852962002796037,0.0036715760554518195,0.00367157605589523,0.009592367728193512
Ant245,0.001832588332188898,0.0005991897103655878,0.000599189710312434,0.0
Ant244,0.0043852617356461236,0.0018086952443285027,0.0018086952445949924,0.0004471321027960768
Ant51,0.01015153172237104,0.009758781499205268,0.009758781499395292,0.003519143792906136
Ant50,0.005770110061290573,0.008362704233915627,0.008362704233432737,0.0006038142794606096
Ant53,0.007947374230755665,0.003704576360704285,0.003704576361153803,0.0017916394723566803
Ant52,0.009906823082462535,0.01158263556265366,0.01158263556259256,0.0018807860379312623
Ant54,0.008476802830872094,0.010813774844910095,0.010813774844573527,0.002483229275954987
Ant390,0.01133298200048668,0.00836481606247688,0.008364816062903731,0.003698465481220234
Ant308,0.009347484427131092,0.008807990127255454,0.00880799012753745,0.0037866051258331583
Ant397,0.009263455991775006,0.008071629602299084,0.008071629602579494,0.002185650642568264
Ant673,0.006120241924236711,0.00660466489552779,0.006604664895464519,0.001394608913186715
Ant278,0.007130030647905499,0.0075245130074555674,0.007524513007414266,0.0017841616915981661
Ant301,0.007795299151443216,0.005668865877685789,0.005668865878014883,0.003199411036339664
Ant476,0.009172075339172905,0.015070511041070307,0.015070511040019233,0.0004136701305519715
Ant475,0.009388788576829182,0.013343825066730384,0.013343825066173338,0.0012738158261331328
Ant380,0.01641301242646564,0.025267656410950134,0.025267656409834603,0.003110878360030015
Ant229,0.009803833501466125,0.009213011715211545,0.009213011715438939,0.00429921465595742
Ant115,0.01075818948134123,0.006944803589394104,0.006944803589972432,0.0034763841269518187
Ant576,0.006140589370353329,0.002942802558917274,0.002942802559276089,0.0013609156912376735
Ant124,0.008842596897365723,0.010736811093027227,0.01073681109274885,0.0035141138323626325
Ant48,0.01312457056240874,0.018954301564347086,0.0189543015637556,0.0036206296065679103
Ant580,0.00424747812855379,0.0012974138551679279,0.0012974138553950635,0.0005604777670333506
Ant398,0.006695724880806085,0.003439898581360909,0.0034398985817147773,0.0024321312599560833
