,PageRank,HubScore,AuthorityScore,Betweeness
Ant621,0.010132230579575106,0.011017857672593343,0.011017857672647303,0.003289225904138741
Ant620,0.010985548378220125,0.00498365796401157,0.0049836579653584154,0.002979687671294425
Ant356,0.006456340415681257,0.01042150033495822,0.010421500333920392,0.0025111813442093476
Ant353,0.00676256401955295,0.0052628389249369705,0.00526283892521945,0.0025200387222036897
Ant540,0.007087385907932327,0.003462413447478282,0.0034624134481790582,0.0021698778012945634
Ant115,0.005737471446360428,0.0028955940352452855,0.0028955940358118505,0.0012502844281833214
Ant117,0.010346861120723364,0.005238868870009215,0.005238868871180316,0.002868621346845418
Ant113,0.008349300167312605,0.005863223614554619,0.00586322361514586,0.0032181250661801352
Ant195,0.006611144264415947,0.0175066011326202,0.01750660112994102,2.2968476221258927e-05
Ant196,0.010247121831820336,0.01586884987761659,0.015868849876398784,0.007151117676988356
Ant191,0.013813078476273714,0.0065904591579555504,0.006590459159688991,0.004082501783375972
Ant190,0.006922605202577944,0.0024774978613558165,0.0024774978622345966,0.0012159775187629029
Ant198,0.007627886800353705,0.005315449462005398,0.005315449462484336,0.003266109616817862
Ant518,0.0071379412744589765,0.006992459146027792,0.006992459146025746,0.0068486545376669206
Ant318,0.015887356308041462,0.0471556959987978,0.0471556959919363,0.000992078036804149
Ant492,0.009742060130135097,0.010528527283536654,0.010528527283376025,0.00688865156819428
Ant324,0.006611117774894584,0.018481013027414613,0.01848101302459256,2.9139613344777003e-05
Ant552,0.008661248820112245,0.003575854534680079,0.0035758545357486428,0.0025339451083350485
Ant252,0.013025914657728142,0.037271376943209256,0.03727137693753227,3.4885154804604176e-05
Ant124,0.011234499963984597,0.007057109727249949,0.0070571097283222,0.0039785252874345286
Ant257,0.008477487485767758,0.006673196504270539,0.006673196504729462,0.0026434439438819185
Ant255,0.010527929438596031,0.012640984891823179,0.012640984891606533,0.001300766701689895
Ant26,0.009580584594974885,0.008197435189337276,0.008197435189665026,0.002606792681825901
Ant27,0.0088988157404444,0.004965130437545646,0.004965130438473713,0.0022859214220485365
Ant23,0.010243263074158489,0.012381517139951025,0.012381517139476536,0.006892208604906104
Ant29,0.01363168557070298,0.006259672017293949,0.0062596720191099705,0.002637208774232906
Ant482,0.008481480201791717,0.00379293909465156,0.0037929390956238226,0.0024611386742127155
Ant137,0.009192959573925403,0.0034778157007999094,0.0034778157020495253,0.0011066440738277145
Ant332,0.007206767217015727,0.017250815074122943,0.0172508150718633,0.001187050145554832
