,PageRank,HubScore,AuthorityScore,Betweeness
Ant621,0.015739045129954738,0.02914589763196849,0.029145897630961457,0.0036302640848298
Ant620,0.007232696523995512,0.0029248839060423302,0.0029248839062186484,0.0029307546269877983
Ant356,0.01256701578043832,0.023270349222153066,0.023270349220895683,0.0001499765317304821
Ant540,0.005231305855688767,0.0017629595069679018,0.001762959507117501,0.001992930924716686
Ant115,0.00700939636853017,0.007284233303477512,0.007284233303592174,0.0054285406166069555
Ant117,0.01205390714174331,0.007935537616748463,0.007935537616918455,0.014160434747808192
Ant113,0.011050044405170732,0.01745944629929867,0.01745944629851985,0.0010131106699728363
Ant191,0.00638837761237527,0.0012427545951405273,0.001242754595271502,0.0023829931491299366
Ant190,0.007618409778403775,0.003662509808050235,0.0036625098082458344,0.003402354256373184
Ant217,0.00819889802077059,0.012892646120631422,0.012892646119819079,0.00023417107985627733
Ant492,0.01604894628645767,0.023631715088984727,0.023631715088896676,0.0074047978241640455
Ant324,0.01568288786720509,0.020128828124433798,0.020128828124969987,0.003671801059816806
Ant552,0.013362052408700168,0.005082647734102717,0.005082647734438471,0.005967464175563126
Ant257,0.011913646772364412,0.011641702629694845,0.011641702630098663,0.0053840512631322885
Ant255,0.01804954179319462,0.025014333235453493,0.025014333235735375,0.007352457052807981
Ant26,0.009545357043067486,0.007249945721534117,0.007249945721851696,0.0024080482479059886
Ant27,0.00943436542091516,0.010724788608283974,0.01072478860812942,0.008583974908708568
Ant23,0.010528102813226553,0.013727812536409338,0.013727812536146114,0.004047357921545595
Ant29,0.00823951670588682,0.0024538859366720813,0.0024538859368909106,0.0037038404088592133
Ant482,0.005860907620139019,0.0022912591032311384,0.0022912591033781016,0.003776136600431751
Ant137,0.005792032205369333,0.0015801907308862363,0.0015801907310471312,0.002918041082126472
Ant400,0.008113474191234786,0.005495454012303302,0.005495454012600371,0.003288245985766455
Ant127,0.007359324964751861,0.002581419224122364,0.0025814192243268494,0.002277298892229606
Ant139,0.005677940585348442,0.0012202695254105666,0.0012202695255376286,0.001444658836366457
Ant560,0.012090195907868834,0.018148100141172623,0.018148100141104784,0.002669642941257669
Ant564,0.009658636172434301,0.005121892969330531,0.005121892969605928,0.004654332384471572
Ant243,0.008430317231017816,0.004918889621863361,0.004918889622135355,0.003845761026272076
Ant242,0.006228286838616262,0.0007830093146123114,0.0007830093147316009,0.0013100261311900518
Ant50,0.0072311233292248036,0.0011223742014270747,0.001122374201559954,0.0024681314095914082
Ant52,0.00782557066622226,0.0013303410474069586,0.0013303410475603518,0.002807515521913355
Ant55,0.008281462173389782,0.005890478150726283,0.005890478151024152,0.0032084886057462494
Ant142,0.01614127715349637,0.024193047403399663,0.024193047402603998,0.004141892576775994
Ant308,0.013036291172082607,0.015305174864306176,0.015305174864656263,0.004418210197035902
Ant148,0.013093932215062783,0.018456907429456465,0.018456907429429473,0.006109169218525806
Ant149,0.017984054311550274,0.029863338277439665,0.029863338276895846,0.0026344610217583367
Ant475,0.011609062949915561,0.011022285608976518,0.01102228560935566,0.002680582891349309
Ant380,0.0045192482919859415,0.0006874387109067125,0.0006874387109838063,0.001608877925477476
Ant462,0.012527801900149276,0.016603626668031016,0.01660362666772287,0.00525817662016642
Ant42,0.007707806726464909,0.0031968160933402157,0.003196816093533898,0.0038421909761932257
Ant43,0.009781407849505075,0.015685536140163547,0.01568553613937155,0.0008959093501640165
Ant44,0.010949324861116539,0.01251139813072049,0.012511398130394561,0.007823666027975634
Ant501,0.010586752369238702,0.006052435110886797,0.006052435111310189,0.004837189826564991
Ant507,0.011731847485355702,0.018684336515823484,0.018684336514911748,0.0011171861811165235
Ant153,0.00921124893457658,0.005851274154099316,0.005851274154475978,0.0027102405773833144
Ant260,0.02481397491984148,0.03444009285596885,0.03444009285642177,0.004592622696592942
Ant156,0.005127667193116442,0.000704319217467886,0.0007043192175410413,0.0016071602908385855
Ant159,0.0053120689727208055,0.0010081737229564855,0.0010081737230618474,0.001726767404628342
Ant158,0.014422964549975197,0.017559885437348356,0.01755988543752854,0.008456888338604975
Ant311,0.011344918156395838,0.011109399083412318,0.011109399083660241,0.011849564299371989
Ant268,0.006516676008742158,0.002385671009483373,0.0023856710096772414,0.00327961959766228
Ant390,0.0049915866890014576,0.0010161645183877652,0.0010161645185040639,0.0012360439066629804
Ant395,0.008027404410206182,0.0035743769792121968,0.0035743769795062268,0.002846773651467143
Ant394,0.006599310183266429,0.003391385284971311,0.003391385285186449,0.0035456722940479008
Ant4,0.00870545509806322,0.006062412874864698,0.006062412875188941,0.002865436417910009
Ant7,0.005038426199878201,0.0018602225860281558,0.0018602225861233082,0.002985811275925321
Ant6,0.030348985762465495,0.048332339625023805,0.0483323396232076,0.004833144797677998
Ant0,0.0047636124347016804,0.0006730918297768717,0.0006730918298651114,0.001714668414317564
Ant76,0.015396479801278388,0.01921466908942805,0.01921466908927683,0.007694907469142865
Ant73,0.008985255721980423,0.014550579093292193,0.014550579092378566,0.0001218069392145325
Ant593,0.005220872534047172,0.0018250573294083562,0.0018250573295289087,0.0012655100415527537
Ant19,0.00942619427760805,0.006745931333221574,0.006745931333558874,0.003603766117662923
Ant614,0.007884372472148786,0.0013300114332606553,0.0013300114334257908,0.002246238723421644
