,PageRank,HubScore,AuthorityScore,Betweeness
Ant647,0.010604815038298316,0.010353415392843162,0.010353415394394869,0.0007254407043104191
Ant242,0.020202601488969747,0.02458196214173429,0.024581962139902425,0.0019766966101840305
Ant607,0.0093218643392748,0.008607493048361942,0.008607493049093052,0.0020670708782513014
Ant227,0.0055551970435243694,0.003216371323610638,0.003216371323922183,0.0019606294521639263
Ant140,0.011734467801979254,0.012129543518617046,0.012129543518644632,0.002591630734345454
Ant299,0.015793840357796414,0.016252771641351308,0.016252771640566224,0.002646409780612537
Ant740,0.01867792284666045,0.018823386366665036,0.018823386368287322,0.00428377232666027
Ant954,0.014345005303592789,0.01510389183446252,0.0151038918338411,0.0029013316668019193
Ant838,0.013152408353475368,0.01410089159860932,0.01410089159784731,0.0015970769537207565
Ant263,0.009471086216375933,0.008717827721306802,0.008717827721123558,0.002283285296800966
Ant262,0.00596285910425917,0.005115303596463844,0.005115303596152261,0.0010390738974479679
Ant153,0.013916148720179109,0.01402572658865446,0.014025726588199129,0.002768357447398556
Ant332,0.01678109619966275,0.016577766476804916,0.01657776647929673,0.00286357836092091
Ant289,0.007993462549397833,0.00628122429124423,0.006281224291195975,0.0010096138331254457
Ant334,0.01588356747036421,0.016660872908810607,0.016660872907759045,0.0026024668354026116
Ant264,0.01327502110682351,0.014163435967283863,0.014163435966191542,0.0026597229079589877
Ant158,0.016830022653574268,0.01780828935462209,0.017808289356351918,0.003091254600148478
Ant311,0.015305084421732677,0.017823036379569574,0.01782303637834575,0.0015352297416414537
Ant646,0.011839315266615663,0.01279995269592338,0.012799952695225906,0.0024466435972303586
Ant176,0.014220361317492238,0.013267177589945093,0.013267177590604102,0.003968100302319959
Ant391,0.020358553555130596,0.022443460378743205,0.022443460376976154,0.0020127246878211967
Ant170,0.012043301718338133,0.012036742932404537,0.012036742931997083,0.0034402459099114728
Ant564,0.012605113983585714,0.011556621390387154,0.011556621389780995,0.0019503828317039308
Ant540,0.018661308284280167,0.018368331425519118,0.018368331426103807,0.007094494526024504
Ant5,0.0121398254601442,0.011554705066573504,0.011554705066959547,0.004296952067228273
Ant4,0.01604454485009095,0.017633570206718147,0.017633570205888082,0.0027588193322120665
Ant117,0.026064579384696217,0.026817005468785123,0.026817005467910583,0.0032585343857819992
Ant6,0.013310628699735125,0.013167932110156768,0.013167932109686949,0.001917586810206997
Ant1,0.007274908927313855,0.005239343949581605,0.005239343949937585,0.0028270496752096216
Ant507,0.014158793046103115,0.011807760681400957,0.011807760682296468,0.004350004470611362
Ant2,0.020144715362149276,0.0203495333234849,0.020349533325982515,0.00285489483214878
Ant51,0.01595598423900535,0.01663010850922675,0.01663010850913476,0.0035604966218676314
Ant191,0.004391444904107188,0.0020416430801991478,0.002041643080450058,1.2226134585289515e-05
Ant32,0.01748438746497976,0.017051285804174702,0.017051285804860986,0.0030120184516513686
