,PageRank,HubScore,AuthorityScore,Betweeness
Ant621,0.0067206928997635175,0.007176633957116244,0.007176633956971603,0.0024325782027660747
Ant580,0.004598707388282536,0.003903499410899762,0.003903499411219538,0.00047621572632661327
Ant356,0.006382104286598251,0.005847036410196414,0.005847036410369059,0.0033410461570767677
Ant149,0.005194481227120106,0.005137407443908421,0.005137407443730258,0.0011178065983828418
Ant118,0.006122179783059273,0.006197888029229496,0.006197888029183334,0.0029257279035234873
Ant229,0.007887262085622744,0.0077762320311161185,0.007776232031161483,0.004303887814813866
Ant227,0.01298641926093339,0.013057359501061289,0.013057359501003028,0.004818388159202
Ant117,0.006333604789569025,0.007035423481130424,0.007035423480894665,0.004502725411717027
Ant111,0.002805833877823278,0.002029536345539834,0.0020295363455473435,0.001031641630486028
Ant221,0.003711288720207118,0.003330178824036591,0.003330178823958504,0.002052387444878626
Ant112,0.00560739079727422,0.005290422590573482,0.005290422590520068,0.003397477821261851
Ant194,0.006772698339629805,0.00675814120798505,0.006758141207942098,0.0034827440718247908
Ant196,0.008803644157954052,0.010165526197538736,0.010165526197046732,0.002210470114165079
Ant191,0.007576771949044393,0.006864152173847466,0.0068641521742343345,0.0022958102417936894
Ant190,0.005489536981447104,0.005723396219713489,0.00572339621959041,0.0022778085732252725
Ant198,0.007712607318123449,0.008752211578532683,0.0087522115780395,0.0019522885341811882
Ant217,0.004805151387506571,0.003956647120014098,0.0039566471202558485,0.0011599766575630785
Ant492,0.007584408342245156,0.007266143633156881,0.007266143633665858,0.0016799277605663897
Ant324,0.007307034265516595,0.007729119294962155,0.007729119294831521,0.003726142917127644
Ant329,0.006314174399191515,0.005708612098603733,0.0057086120989733365,0.0020904054738112585
Ant650,0.0046925375689821774,0.004339590001430785,0.004339590001314169,0.0018278350850533265
Ant556,0.006778701877926709,0.006140815472417209,0.006140815472888003,0.0013473377291558127
Ant252,0.006816552406690851,0.007809177311476104,0.007809177311152156,0.0018030150102565361
Ant250,0.004803785685772707,0.004336464048320884,0.004336464048295801,0.0021817740952090464
Ant251,0.004336646073956453,0.004562204083947595,0.0045622040837200156,0.0010948557179525338
Ant256,0.005815507517647585,0.005557530563898853,0.00555753056389162,0.00226438993643116
Ant126,0.0042923838845267456,0.0035183556081695745,0.00351835560821128,0.0016807032857923938
Ant255,0.00253847500923841,0.0019457573449794625,0.0019457573449496997,0.000992085799211797
Ant26,0.007588202179022167,0.008074574648181062,0.008074574647866796,0.0019183109510649856
Ant27,0.003966455624586001,0.0033440225649834098,0.0033440225649928284,0.001394736330155042
Ant20,0.007144472464906062,0.006393835112656783,0.006393835112983744,0.002671707352524005
Ant23,0.005253511187534951,0.005260699589444714,0.0052606995894855365,0.0024506318219347473
Ant28,0.007434000093503813,0.007040560496109339,0.007040560496159468,0.002649996587643542
Ant124,0.0068066474059288945,0.006510798733376402,0.00651079873341467,0.0028834838752630565
Ant264,0.005578048479600316,0.004724929026952735,0.00472492902731095,0.0008924450004800271
Ant331,0.004971178287383112,0.00424806379761577,0.004248063797737438,0.002412103419504185
Ant159,0.004941351291382771,0.003941689267084155,0.003941689267348451,0.001055156246485315
Ant334,0.006200222323365942,0.005452696516554422,0.005452696516882653,0.001387915218788639
Ant131,0.005203699364075111,0.004496501077487776,0.004496501077816037,0.0009710692658098886
Ant127,0.00623540472939011,0.007646429670820489,0.00764642967038364,0.0013796408105834024
Ant560,0.004344499862402828,0.0035117463822471368,0.003511746382196385,0.001644358667590724
Ant564,0.005487868589003636,0.004560812210229196,0.0045608122105875734,0.0007811803529777537
Ant243,0.006312722608130882,0.005982304288075748,0.00598230428813367,0.0035183629302302033
Ant242,0.007700348970393518,0.007439937649758659,0.007439937650275657,0.0015477249497283605
Ant245,0.0014511614673054362,0.0006879823667296326,0.0006879823667119692,6.648451776718553e-05
Ant244,0.0047754177432718144,0.00401463419450865,0.0040146341947106595,0.0014112746291676994
Ant51,0.006310731478327625,0.006123893088813004,0.006123893088847422,0.0033289925499264614
Ant50,0.004482672583863105,0.004508963126374211,0.004508963126164131,0.0011103831897055448
Ant53,0.009177070269154238,0.008488001693744782,0.00848800169441692,0.0015983582147231846
Ant52,0.0067626506780927445,0.006316696751296751,0.0063166967512372505,0.0030329415194932166
Ant54,0.006280940059436995,0.006616083638933496,0.006616083638815564,0.0035480169835666957
Ant57,0.00449318315138829,0.005136373545959966,0.005136373545650753,0.0012729498157551637
Ant59,0.0058374671266941385,0.0049932750394256825,0.004993275039595147,0.002537401027571844
Ant142,0.0069226941696513234,0.006921917134637596,0.0069219171343974165,0.0026801114046349516
Ant509,0.007039637373718521,0.008934223237813534,0.00893422323724379,0.001207342711355627
Ant308,0.006309285469168947,0.005660385604202157,0.005660385604416856,0.00279227619571933
Ant35,0.004126641937914185,0.00339645658621817,0.003396456586501205,0.0004635135520610837
Ant9,0.007880484502936425,0.007419113731537158,0.007419113731677281,0.0026605924544881305
Ant673,0.005851334149276059,0.005113954847807199,0.005113954847933191,0.0025324141938925077
Ant278,0.004825721560727235,0.004061581439526425,0.00406158143951676,0.002029830636355951
Ant301,0.0073864640991938004,0.007496801508652094,0.007496801508699626,0.0032938985018063673
Ant476,0.004942199634713446,0.0057458816828365586,0.0057458816825436436,0.0008353946287262325
Ant475,0.005217046441301524,0.005448026800646954,0.005448026800432706,0.001420772639531231
Ant380,0.006079700545459076,0.006526984497652563,0.00652698449743129,0.002213658892528896
Ant540,0.0071652460824131025,0.006638937281720764,0.006638937282176785,0.0027086253853948134
Ant576,0.006557782546626481,0.005744567583308744,0.00574456758373408,0.0011841884445584912
Ant462,0.009056514253499126,0.009820894125637117,0.009820894125578693,0.0031622999949455907
Ant115,0.008069833565051785,0.007768488188827341,0.007768488189274591,0.0018396063131496281
Ant44,0.0046630559052562226,0.004583728478901853,0.004583728478757361,0.0011600181357550516
Ant48,0.006721781659007299,0.00799935757674471,0.007999357576376737,0.0033558031256680234
Ant665,0.009171535764060398,0.009308303593807825,0.00930830359370939,0.003950173441601217
Ant398,0.006389034787588636,0.005778435086951282,0.005778435087338903,0.0012487275644580233
Ant663,0.009199511910726169,0.00873401693284614,0.00873401693324017,0.002472914519592675
Ant740,0.009595773123471629,0.009627849201297866,0.009627849201212697,0.004404501218060723
Ant954,0.007385664130236945,0.00655495882750077,0.006554958827765373,0.002900766857908064
Ant263,0.00520863038386708,0.004793566461079329,0.004793566460863067,0.002973063156824842
Ant260,0.008803811758317622,0.010855591608833585,0.010855591608324978,0.004564099774158104
Ant156,0.002893514366201414,0.0028640310784253235,0.0028640310781976306,9.566025539611976e-06
Ant313,0.005373619589610111,0.005078965680642813,0.005078965680645064,0.0025819302162414814
Ant158,0.006807389939251442,0.006189714947029406,0.006189714947459268,0.0012403595999049817
Ant311,0.004567656419446486,0.004858441876565723,0.004858441876370179,0.004520120247801477
Ant220,0.004470469916738607,0.004095024456494822,0.004095024456573817,0.0024258762379900716
Ant391,0.006496136197104507,0.007025279042725588,0.007025279042442365,0.0017262460906743958
Ant390,0.006549479270274919,0.005400567116436315,0.00540056711678235,0.0012092848173993966
Ant397,0.007381276721211987,0.007750845471726748,0.007750845471649696,0.0035279804236505057
Ant395,0.005920024822118263,0.007000607174620119,0.007000607174295239,0.003942394973459644
Ant394,0.004006528846883776,0.0031340958499384572,0.003134095850007311,0.0018929347519175796
Ant4,0.004705246421749764,0.004570683092540615,0.00457068309239213,0.0019733216902685603
Ant7,0.009173846267441837,0.01194154004015683,0.011941540039409818,0.0014206174079049235
Ant6,0.004750509421208028,0.004966450911728565,0.004966450911549961,0.0012827929373648772
Ant1,0.006560165319722624,0.00623905169656011,0.006239051696556548,0.004255329673903414
Ant0,0.004615384979588334,0.004866514826235515,0.004866514825910641,0.0009013185438358883
Ant2,0.007064712296875472,0.006609736035200777,0.006609736035329128,0.003673677545055451
Ant482,0.004102356322714086,0.0033772507395332086,0.003377250739469843,0.001975981017892105
Ant76,0.00591526635332738,0.007077338281043264,0.007077338280593042,0.0012834385987515924
Ant137,0.006229066993537131,0.0056256346604420275,0.005625634660866844,0.0010055674320053121
Ant74,0.006185773582581176,0.005904286284420603,0.005904286284802051,0.0014072561163013966
Ant72,0.0055837925681997596,0.004782241467491813,0.0047822414677951355,0.0007769235153174618
Ant71,0.004850374354982209,0.004179502247794874,0.0041795022480510865,0.0011148567556480025
Ant70,0.007258072924512454,0.007234324120691892,0.0072343241205562086,0.002963379290116248
Ant610,0.006234518142718458,0.005714213300369153,0.005714213300821169,0.0008650021536663543
Ant592,0.006187549667006994,0.00530816942246743,0.005308169422579613,0.0023950163201804514
Ant19,0.0058184910452700024,0.0061340498632068575,0.00613404986302542,0.0016285856654659622
Ant614,0.007465544411975931,0.007491653912633459,0.007491653913181115,0.0012371158771683967
Ant15,0.004369631739072185,0.003682059353322354,0.0036820593534451686,0.0016357145025623044
Ant17,0.008075188217377077,0.007261686406663859,0.007261686407178604,0.0009607965681344064
Ant13,0.005571233735332771,0.004846179815552409,0.004846179815792036,0.0016497101973635712
Ant12,0.009778109548891006,0.010487439475371348,0.010487439475034756,0.0032480611547157368
Ant97,0.012478843425359673,0.012095015223108902,0.01209501522397787,0.0028609768493127225
Ant96,0.006766511602831186,0.006147542083725788,0.006147542084076982,0.0019308944826255795
Ant169,0.004842623820819913,0.005200572243834397,0.005200572243590373,0.0017261361306404163
Ant298,0.005760726968897219,0.006053149422788873,0.006053149422729639,0.0023141955814685905
Ant299,0.006925068360065062,0.007852567787992653,0.007852567787701931,0.002144369113625285
Ant296,0.005755773978488757,0.006558991381847718,0.006558991381508448,0.0018726666923333574
Ant161,0.010953921882257809,0.018600895548028365,0.018600895546702,0.002391513184555152
Ant518,0.004985785167338442,0.005502055136290556,0.0055020551359970925,0.0018001529375378195
Ant215,0.01075104192689628,0.012181211433706833,0.012181211433181521,0.0026237987402420635
Ant212,0.005797951944617056,0.005052754746574729,0.005052754746872298,0.0015624642643033183
Ant210,0.00496075467035773,0.004678505692499681,0.004678505692415468,0.002388192164282742
Ant458,0.006602510327111752,0.008158957897830683,0.008158957897390092,0.0009012782223188385
Ant218,0.007259577910620465,0.008279831889952816,0.008279831889582338,0.0024955856454231366
Ant219,0.0061599703691402425,0.005440097847027188,0.0054400978474329975,0.001111910403804113
Ant68,0.005908193790329094,0.005154949225736299,0.005154949226082005,0.001402927878568988
Ant178,0.006139186889927426,0.005304631682400417,0.005304631682792883,0.0012617588541470753
