,PageRank,HubScore,AuthorityScore,Betweeness
Ant621,0.016332209504688465,0.017372501707308148,0.017372501707983382,0.004662938097041048
Ant356,0.010371426802221792,0.006084273568420116,0.0060842735695285,0.0022633732686103253
Ant227,0.011639515290277739,0.011684055848828732,0.011684055848926978,0.005725116062156814
Ant114,0.004152669026250033,0.0026573352975286174,0.002657335297651315,0.0024173358309275595
Ant112,0.01125240299858359,0.01722680265687886,0.017226802655218105,0.011999596982396776
Ant195,0.01680680827187571,0.019655776417216796,0.019655776417101332,0.005412274740973443
Ant518,0.0113875012492615,0.011753442882970368,0.011753442883035675,0.005217279032438243
Ant492,0.00822515879680477,0.004905771706018562,0.004905771706658245,0.0009725416207964938
Ant324,0.008809021143279474,0.007091912655306567,0.007091912655756748,0.002643404973930932
Ant650,0.014995728614256116,0.009558179168125574,0.009558179169813075,0.00394863014321362
Ant556,0.010149738858720916,0.006504305323353797,0.006504305324166333,0.0028702897853367716
Ant552,0.011558507594831843,0.0065359326919375875,0.00653593269320328,0.0017544425207652937
Ant256,0.016524144636207827,0.028856599571745117,0.02885659956881853,0.009016717614719932
Ant257,0.00923939313122958,0.006542839446699965,0.006542839447570481,0.002049660183059412
Ant126,0.01954236298718896,0.021535728531173248,0.021535728531402974,0.01715339789835342
Ant20,0.011551519716716934,0.014874163269311205,0.01487416326827431,0.00872073279931667
Ant137,0.00971248056031793,0.006172470725399465,0.006172470726364694,0.0017233556906853789
Ant332,0.010516923426446228,0.006797714304500448,0.006797714305476409,0.002190129891588527
Ant647,0.00258932503254962,0.0006702906542838702,0.0006702906543925545,1.044035722214907e-05
Ant560,0.00863392838376116,0.0047591937783352765,0.004759193779164283,0.002281798405621431
Ant564,0.013663072103111146,0.020885386392933497,0.020885386391314008,0.008014257813274344
Ant35,0.012321449615760361,0.013448929005109697,0.013448929005104492,0.007513697265382605
Ant243,0.0072776601221563675,0.013311025227125742,0.013311025225209945,0.0003722455798586409
Ant244,0.009630901207824822,0.006683522861562411,0.006683522862424931,0.002011396283475986
Ant50,0.010104240993354307,0.005884666802972788,0.005884666803902832,0.0013451262579612729
Ant52,0.005717967062674639,0.0025185718982401978,0.002518571898765355,0.0010443639875242663
Ant55,0.014024250689337405,0.0251057296798295,0.02510572967665731,0.004902715897825854
Ant98,0.010529446739374134,0.00703546144863339,0.007035461449500754,0.007154234107299364
Ant140,0.012573842710686785,0.011463792723419262,0.011463792724070006,0.002298874407343209
Ant147,0.01088582135251446,0.006764619953937455,0.006764619954868882,0.0035426441553904685
Ant144,0.0132855112757588,0.010162948754373301,0.010162948755203651,0.0031237397274301473
Ant305,0.010198351544291866,0.012494594577170677,0.012494594576779755,0.004083199191339329
Ant148,0.007663373361061075,0.004072470999090929,0.004072470999823242,0.0016352425065682056
Ant673,0.009811562078463539,0.0069049729758173155,0.006904972976567464,0.003188390968960352
Ant476,0.014482775036098936,0.00881915946256603,0.008819159464270495,0.0029950414208260077
Ant575,0.008844893065536517,0.008027793557336982,0.00802779355744935,0.0020481300802100214
Ant44,0.017343766363887844,0.011597255740495797,0.011597255742237815,0.0024334653029040357
Ant665,0.010227333451210532,0.006565178430770795,0.0065651784318034884,0.0017272680625823277
Ant398,0.013183375752319449,0.02258028979424277,0.022580289791690477,0.007952302866650371
Ant262,0.00692540030573496,0.006984418277236244,0.006984418277205199,0.003583119415004
Ant265,0.0130092001364829,0.013288651633138832,0.013288651633124465,0.011566210256465334
Ant268,0.0283945836920161,0.048755145143481796,0.04875514513796752,0.018685397552692207
Ant395,0.009401691977351414,0.007139117665594074,0.00713911766610144,0.0027636522765701367
Ant502,0.006524824969949394,0.0058551339538449295,0.00585513395379271,0.008333685154229407
Ant7,0.012075225857874058,0.012623602738320827,0.012623602738439614,0.01083627329147974
Ant6,0.012443138513779138,0.008668212024173056,0.008668212025303448,0.003020120704061955
Ant2,0.011353484419772339,0.011477683826657798,0.01147768382683135,0.004523509971397847
Ant72,0.015329931429167932,0.024113667646139713,0.024113667643942308,0.012634120413590112
Ant593,0.012860839457095747,0.009231504190495987,0.009231504191598672,0.0028165137806019885
Ant592,0.011079075275976413,0.005953039925071966,0.0059530399264040475,0.001446741790040254
Ant19,0.011512670991606817,0.008774529048679683,0.008774529049421016,0.0032138516081803396
Ant599,0.0122050352050021,0.008159944865077772,0.008159944866248367,0.002226716601995495
Ant12,0.012520607614309056,0.026195498036997916,0.02619549803325586,8.625310231703027e-05
Ant96,0.0082185704448299,0.0049518377723836975,0.004951837773007013,0.0014730556514018223
